move_key,name_en,name_es,type_key,category_key,power,accuracy,pp,priority,targeting_key,makes_contact,is_sound,is_pulse,is_punch,is_bite,is_slashing,is_status,effect_short_en,effect_short_es,effect_long_en,effect_long_es,source_key
air_slash,Air Slash,Air Slash,flying,special,75,95,15,,unknown,0,0,0,0,0,1,0,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,,championslab
alluring_voice,Alluring Voice,Alluring Voice,fairy,special,80,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted.,,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted.,,championslab
ally_switch,Ally Switch,Ally Switch,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,,The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,,championslab
amnesia,Amnesia,Amnesia,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,,championslab
ancient_power,Ancient Power,Ancient Power,rock,special,60,100,5,,unknown,0,0,0,0,0,0,0,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,,championslab
apple_acid,Apple Acid,Apple Acid,grass,special,90,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,,championslab
aqua_cutter,Aqua Cutter,Aqua Cutter,water,physical,70,100,20,,unknown,0,0,0,0,0,0,0,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,,championslab
aqua_jet,Aqua Jet,Aqua Jet,water,physical,40,100,20,,unknown,0,0,0,0,0,0,0,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",,championslab
aqua_ring,Aqua Ring,Aqua Ring,water,status,,,20,,unknown,0,0,0,0,0,0,1,The user gains the Aqua Ring status.,,The user gains the Aqua Ring status.,,championslab
aqua_step,Aqua Step,Aqua Step,water,physical,80,100,10,,unknown,0,0,0,0,0,0,0,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.,,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.,,championslab
aqua_tail,Aqua Tail,Aqua Tail,water,physical,90,90,10,,unknown,0,0,0,0,0,0,0,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,,championslab
armor_cannon,Armor Cannon,Armor Cannon,fire,special,120,100,5,,unknown,0,0,0,0,0,0,0,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,,championslab
aromatherapy,Aromatherapy,Aromatherapy,grass,status,,,5,,unknown,0,0,0,0,0,0,1,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",,championslab
aromatic_mist,Aromatic Mist,Aromatic Mist,fairy,status,,,20,,unknown,0,0,0,0,0,0,1,Boosts an ally's Sp. Def stat by 1 stage.,,Boosts an ally's Sp. Def stat by 1 stage.,,championslab
assurance,Assurance,Assurance,dark,physical,60,100,10,,unknown,0,0,0,0,0,0,0,This move's power is doubled if the target has already taken some damage in the same turn.,,This move's power is doubled if the target has already taken some damage in the same turn.,,championslab
attract,Attract,Attract,normal,status,0,100,15,,unknown,0,0,0,0,0,0,1,Makes the opposite gender infatuated.,,Makes the opposite gender infatuated.,,championslab
aura_sphere,Aura Sphere,Aura Sphere,fighting,special,80,,20,,unknown,0,0,1,0,0,0,0,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,,championslab
aura_wheel,Aura Wheel,Aura Wheel,electric,physical,110,100,10,,unknown,0,0,0,0,0,0,0,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,,championslab
aurora_veil,Aurora Veil,Aurora Veil,ice,status,,,20,,unknown,0,0,0,0,0,0,1,Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow.,,Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow.,,championslab
avalanche,Avalanche,Avalanche,ice,physical,60,100,10,,unknown,0,0,0,0,0,0,0,An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.,,An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.,,championslab
axe_kick,Axe Kick,Axe Kick,fighting,physical,120,90,10,,unknown,0,0,0,0,0,0,0,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",,championslab
baby_doll_eyes,Baby-Doll Eyes,Baby-Doll Eyes,fairy,status,,100,30,,unknown,0,0,0,0,0,0,1,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.",,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.",,championslab
baneful_bunker,Baneful Bunker,Baneful Bunker,poison,status,,,10,,unknown,0,0,0,0,0,0,1,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",,championslab
baton_pass,Baton Pass,Baton Pass,normal,status,,,40,,unknown,0,0,0,0,0,0,1,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,The user switches places with a party Pokémon in waiting and passes along any stat changes.,,championslab
beak_blast,Beak Blast,Beak Blast,flying,physical,120,100,15,,unknown,0,0,0,0,0,0,0,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.",,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.",,championslab
beat_up,Beat Up,Beat Up,dark,physical,,100,20,,unknown,0,0,0,0,0,0,0,The target is attacked as many times as the number of Pokémon in the user's party. Pokémon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pokémon.,,The target is attacked as many times as the number of Pokémon in the user's party. Pokémon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pokémon.,,championslab
belch,Belch,Belch,poison,special,120,90,5,,unknown,0,0,0,0,0,0,0,This move fails unless the user has eaten a Berry during the battle.,,This move fails unless the user has eaten a Berry during the battle.,,championslab
belly_drum,Belly Drum,Belly Drum,normal,status,,,10,,unknown,0,0,0,0,0,0,1,The user maximizes its Attack stat but loses HP equal to half its max HP.,,The user maximizes its Attack stat but loses HP equal to half its max HP.,,championslab
bind,Bind,Bind,normal,physical,15,85,20,,unknown,0,0,0,0,0,0,0,Binds the target for 2-5 turns.,,Binds the target for 2-5 turns.,,championslab
bite,Bite,Bite,dark,physical,60,100,25,,unknown,0,0,0,0,0,0,0,The target is bitten with viciously sharp fangs. This may also make the target flinch.,,The target is bitten with viciously sharp fangs. This may also make the target flinch.,,championslab
bitter_blade,Bitter Blade,Bitter Blade,fire,physical,90,100,10,,unknown,0,0,0,0,0,0,0,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.,,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.,,championslab
bitter_malice,Bitter Malice,Bitter Malice,ghost,special,75,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,,championslab
blast_burn,Blast Burn,Blast Burn,fire,special,150,90,5,,unknown,0,0,0,0,0,0,0,The user gains the Recharging status on the turn after this move is used.,,The user gains the Recharging status on the turn after this move is used.,,championslab
blaze_kick,Blaze Kick,Blaze Kick,fire,physical,85,90,10,,unknown,0,0,0,0,0,0,0,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,,championslab
blizzard,Blizzard,Blizzard,ice,special,110,70,5,,unknown,0,0,0,0,0,0,0,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,,championslab
block,Block,Block,normal,status,,,5,,unknown,0,0,0,0,0,0,1,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,,championslab
body_press,Body Press,Body Press,fighting,physical,80,100,10,,unknown,0,0,0,0,0,0,0,"The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals.",,"The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals.",,championslab
body_slam,Body Slam,Body Slam,normal,physical,85,100,15,,unknown,0,0,0,0,0,0,0,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,,championslab
bone_rush,Bone Rush,Bone Rush,ground,physical,30,90,10,,unknown,0,0,0,0,0,0,0,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,,championslab
boomburst,Boomburst,Boomburst,normal,special,140,100,5,,unknown,0,1,0,0,0,0,0,The user attacks everything around it with the destructive power of a terrible explosive sound.,,The user attacks everything around it with the destructive power of a terrible explosive sound.,,championslab
bounce,Bounce,Bounce,flying,physical,85,85,15,,unknown,0,0,0,0,0,0,0,The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target.,,The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target.,,championslab
brave_bird,Brave Bird,Brave Bird,flying,physical,120,100,15,,unknown,1,0,0,0,0,0,0,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,,championslab
breaking_swipe,Breaking Swipe,Breaking Swipe,dragon,physical,60,100,15,,unknown,0,0,0,0,0,0,0,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,,championslab
brick_break,Brick Break,Brick Break,fighting,physical,75,100,15,,unknown,0,0,0,0,0,0,0,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",,championslab
brutal_swing,Brutal Swing,Brutal Swing,dark,physical,60,100,20,,unknown,0,0,0,0,0,0,0,The user swings its body around violently to inflict damage on everything in its vicinity.,,The user swings its body around violently to inflict damage on everything in its vicinity.,,championslab
bug_bite,Bug Bite,Bug Bite,bug,physical,60,100,20,,unknown,0,0,0,0,0,0,0,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",,championslab
bug_buzz,Bug Buzz,Bug Buzz,bug,special,90,100,10,,unknown,0,0,0,0,0,0,0,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,,championslab
bulk_up,Bulk Up,Bulk Up,fighting,status,,,20,,unknown,0,0,0,0,0,0,1,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",,championslab
bulldoze,Bulldoze,Bulldoze,ground,physical,60,100,20,,unknown,0,0,0,0,0,0,0,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,,championslab
bullet_punch,Bullet Punch,Bullet Punch,steel,physical,40,100,30,,unknown,0,0,0,1,0,0,0,The user strikes the target with tough punches as fast as bullets. This move always goes first.,,The user strikes the target with tough punches as fast as bullets. This move always goes first.,,championslab
bullet_seed,Bullet Seed,Bullet Seed,grass,physical,25,100,30,,unknown,0,0,0,0,0,0,0,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,,championslab
burn_up,Burn Up,Burn Up,fire,special,130,100,5,,unknown,0,0,0,0,0,0,0,The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type.,,The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type.,,championslab
burning_jealousy,Burning Jealousy,Burning Jealousy,fire,special,70,100,5,,unknown,0,0,0,0,0,0,0,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,,championslab
calm_mind,Calm Mind,Calm Mind,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,,championslab
captivate,Captivate,Captivate,normal,status,,100,20,,unknown,0,0,0,0,0,0,1,"If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat.",,"If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat.",,championslab
ceaseless_edge,Ceaseless Edge,Ceaseless Edge,dark,physical,65,90,15,,unknown,0,0,0,0,0,0,0,The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.,,The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.,,championslab
charge,Charge,Charge,electric,status,,,20,,unknown,0,0,0,0,0,0,1,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.",,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.",,championslab
charge_beam,Charge Beam,Charge Beam,electric,special,50,90,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,,championslab
charm,Charm,Charm,fairy,status,,100,20,,unknown,0,0,0,0,0,0,1,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",,championslab
chilling_water,Chilling Water,Chilling Water,water,special,50,100,20,,unknown,0,0,0,0,0,0,0,The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.,,The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.,,championslab
chilly_reception,Chilly Reception,Chilly Reception,ice,status,,,20,,unknown,0,0,0,0,0,0,1,Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pokémon.,,Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pokémon.,,championslab
circle_throw,Circle Throw,Circle Throw,fighting,physical,60,90,10,,unknown,0,0,0,0,0,0,0,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",,championslab
clanging_scales,Clanging Scales,Clanging Scales,dragon,special,110,100,5,,unknown,0,1,0,0,0,0,0,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,,championslab
clangorous_soul,Clangorous Soul,Clangorous Soul,dragon,status,,100,5,,unknown,0,1,0,0,0,0,1,The user boosts all its stats by using some of its own HP.,,The user boosts all its stats by using some of its own HP.,,championslab
clear_smog,Clear Smog,Clear Smog,poison,special,50,,15,,unknown,0,0,0,0,0,0,0,The user attacks by throwing a clump of special mud. All status changes are returned to normal.,,The user attacks by throwing a clump of special mud. All status changes are returned to normal.,,championslab
close_combat,Close Combat,Close Combat,fighting,physical,120,100,5,,unknown,1,0,0,0,0,0,0,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user's Defense and Sp. Def stats.",,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user's Defense and Sp. Def stats.",,championslab
coaching,Coaching,Coaching,fighting,status,0,,10,,unknown,0,0,0,0,0,0,1,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",,championslab
coil,Coil,Coil,poison,status,0,,20,,unknown,0,0,0,0,0,0,1,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.,,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.,,championslab
comeuppance,Comeuppance,Comeuppance,dark,physical,,100,20,,unknown,0,0,0,0,0,0,0,The user retaliates to deal 150% of the damage it took from an opponent's move during the turn this move is used.,,The user retaliates to deal 150% of the damage it took from an opponent's move during the turn this move is used.,,championslab
confide,Confide,Confide,normal,status,,,20,,unknown,0,0,0,0,0,0,1,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.",,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.",,championslab
confuse_ray,Confuse Ray,Confuse Ray,ghost,status,,100,10,,unknown,0,0,0,0,0,0,1,The target is exposed to a sinister ray that causes confusion.,,The target is exposed to a sinister ray that causes confusion.,,championslab
copycat,Copycat,Copycat,normal,status,,,20,,unknown,0,0,0,0,0,0,1,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,,championslab
corrosive_gas,Corrosive Gas,Corrosive Gas,poison,status,,100,40,,unknown,0,0,0,0,0,0,1,The user surrounds everything around it with highly acidic gas and melts away items they hold.,,The user surrounds everything around it with highly acidic gas and melts away items they hold.,,championslab
cosmic_power,Cosmic Power,Cosmic Power,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,,championslab
cotton_guard,Cotton Guard,Cotton Guard,grass,status,,,10,,unknown,0,0,0,0,0,0,1,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat.",,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat.",,championslab
cotton_spore,Cotton Spore,Cotton Spore,grass,status,,100,40,,unknown,0,0,0,0,0,0,1,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,,championslab
counter,Counter,Counter,fighting,physical,,100,20,,unknown,0,0,0,0,0,0,0,The user retaliates to deal double the damage it took from an opponent's physical move during the turn this move is used.,,The user retaliates to deal double the damage it took from an opponent's physical move during the turn this move is used.,,championslab
covet,Covet,Covet,normal,physical,60,100,25,,unknown,0,0,0,0,0,0,0,"The user endearingly approaches the target, then steals the target's held item.",,"The user endearingly approaches the target, then steals the target's held item.",,championslab
crabhammer,Crabhammer,Crabhammer,water,physical,95,,10,,unknown,0,0,0,0,0,0,0,This move has a 1-stage Critical-Hit Ratio Boost.,,This move has a 1-stage Critical-Hit Ratio Boost.,,championslab
cross_chop,Cross Chop,Cross Chop,fighting,physical,100,80,5,,unknown,0,0,0,0,0,0,0,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,,championslab
cross_poison,Cross Poison,Cross Poison,poison,physical,70,100,20,,unknown,0,0,0,0,0,0,0,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,,championslab
crunch,Crunch,Crunch,dark,physical,80,100,15,,unknown,0,0,0,0,1,0,0,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.,,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.,,championslab
crush_claw,Crush Claw,Crush Claw,normal,physical,75,95,10,,unknown,0,0,0,0,0,0,0,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.,,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.,,championslab
curse,Curse,Curse,ghost,status,,,10,,unknown,0,0,0,0,0,0,1,A move that has different effects depending on whether the user is a Ghost type or not.,,A move that has different effects depending on whether the user is a Ghost type or not.,,championslab
dark_pulse,Dark Pulse,Dark Pulse,dark,special,80,100,15,,unknown,0,0,1,0,0,0,0,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,,championslab
darkest_lariat,Darkest Lariat,Darkest Lariat,dark,physical,85,100,10,,unknown,0,0,0,0,0,0,0,The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move.,,The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move.,,championslab
dazzling_gleam,Dazzling Gleam,Dazzling Gleam,fairy,special,80,100,10,,unknown,0,0,0,0,0,0,0,The user damages opposing Pokémon by emitting a powerful flash.,,The user damages opposing Pokémon by emitting a powerful flash.,,championslab
decorate,Decorate,Decorate,fairy,status,0,,15,,unknown,0,0,0,0,0,0,1,The user sharply raises the target’s Attack and Sp. Atk stats by decorating the target.,,The user sharply raises the target’s Attack and Sp. Atk stats by decorating the target.,,championslab
defog,Defog,Defog,flying,status,,,20,,unknown,0,0,0,0,0,0,1,Lowers the target's evasiveness by 1 stage. Removes statuses such as Reflect Spikes and Safeguard as well as any terrain.,,Lowers the target's evasiveness by 1 stage. Removes statuses such as Reflect Spikes and Safeguard as well as any terrain.,,championslab
destiny_bond,Destiny Bond,Destiny Bond,ghost,status,,,20,,unknown,0,0,0,0,0,0,1,The user gains the Destiny Bound status. This move fails if used in succession.,,The user gains the Destiny Bound status. This move fails if used in succession.,,championslab
detect,Detect,Detect,fighting,status,,,20,,unknown,0,0,0,0,0,0,1,The user protects itself from incoming moves for the turn. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,,The user protects itself from incoming moves for the turn. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,,championslab
dig,Dig,Dig,ground,physical,80,100,10,,unknown,0,0,0,0,0,0,0,"The user burrows into the ground on the first turn, then attacks on the next turn.",,"The user burrows into the ground on the first turn, then attacks on the next turn.",,championslab
dire_claw,Dire Claw,Dire Claw,poison,physical,80,100,16,,unknown,0,0,0,0,0,0,0,"The user lashes out at the target with ruinous claws. This may also leave the target poisoned, paralyzed, or asleep.",,"The user lashes out at the target with ruinous claws. This may also leave the target poisoned, paralyzed, or asleep.",,championslab
disable,Disable,Disable,normal,status,,100,20,,unknown,0,0,0,0,0,0,1,Gives the target the Move Disabled status for 4 turns.,,Gives the target the Move Disabled status for 4 turns.,,championslab
discharge,Discharge,Discharge,electric,special,80,100,15,,unknown,0,0,0,0,0,0,0,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,,championslab
dive,Dive,Dive,water,physical,80,100,10,,unknown,0,0,0,0,0,0,0,"The user dives on the first turn, then floats up and attacks on the next turn.",,"The user dives on the first turn, then floats up and attacks on the next turn.",,championslab
double_edge,Double-Edge,Double-Edge,normal,physical,120,100,15,,unknown,0,0,0,0,0,0,0,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,,championslab
double_hit,Double Hit,Double Hit,normal,physical,35,90,10,,unknown,0,0,0,0,0,0,0,The user slams the target with a tail or the like. The target is hit twice in a row.,,The user slams the target with a tail or the like. The target is hit twice in a row.,,championslab
double_kick,Double Kick,Double Kick,fighting,physical,30,100,30,,unknown,0,0,0,0,0,0,0,The user attacks by kicking the target twice in a row using two feet.,,The user attacks by kicking the target twice in a row using two feet.,,championslab
double_slap,Double Slap,Double Slap,normal,physical,15,85,10,,unknown,0,0,0,0,0,0,0,Repeatedly slaps 2-5 times.,,Repeatedly slaps 2-5 times.,,championslab
double_team,Double Team,Double Team,normal,status,,,15,,unknown,0,0,0,0,0,0,1,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",,championslab
draco_meteor,Draco Meteor,Draco Meteor,dragon,special,130,90,5,,unknown,0,0,0,0,0,0,0,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,,championslab
