matchup_id,season_key,format,threat_pokemon_id,answer_pokemon_id,answer_type,confidence,notes
57,season_m1_reg_ma,doubles,248,448,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
58,season_m1_reg_ma,doubles,279,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
59,season_m1_reg_ma,doubles,279,10009,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
60,season_m1_reg_ma,doubles,279,10242,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
61,season_m1_reg_ma,doubles,282,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
62,season_m1_reg_ma,doubles,282,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
63,season_m1_reg_ma,doubles,282,212,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
64,season_m1_reg_ma,doubles,302,143,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
65,season_m1_reg_ma,doubles,302,925,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
66,season_m1_reg_ma,doubles,302,981,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
67,season_m1_reg_ma,doubles,324,445,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
68,season_m1_reg_ma,doubles,324,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
69,season_m1_reg_ma,doubles,324,10009,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
70,season_m1_reg_ma,doubles,334,959,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
71,season_m1_reg_ma,doubles,334,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
72,season_m1_reg_ma,doubles,334,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
73,season_m1_reg_ma,doubles,350,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
74,season_m1_reg_ma,doubles,350,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
75,season_m1_reg_ma,doubles,350,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
76,season_m1_reg_ma,doubles,445,227,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
77,season_m1_reg_ma,doubles,445,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
78,season_m1_reg_ma,doubles,445,142,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
79,season_m1_reg_ma,doubles,448,902,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
80,season_m1_reg_ma,doubles,448,609,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
81,season_m1_reg_ma,doubles,448,681,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
82,season_m1_reg_ma,doubles,478,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
83,season_m1_reg_ma,doubles,478,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
84,season_m1_reg_ma,doubles,478,143,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
85,season_m1_reg_ma,doubles,530,6,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
86,season_m1_reg_ma,doubles,530,227,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
87,season_m1_reg_ma,doubles,530,279,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
88,season_m1_reg_ma,doubles,547,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
89,season_m1_reg_ma,doubles,547,94,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
90,season_m1_reg_ma,doubles,547,324,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
91,season_m1_reg_ma,doubles,618,472,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
92,season_m1_reg_ma,doubles,618,389,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
93,season_m1_reg_ma,doubles,618,445,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
94,season_m1_reg_ma,doubles,635,670,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
95,season_m1_reg_ma,doubles,635,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
96,season_m1_reg_ma,doubles,635,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
97,season_m1_reg_ma,doubles,655,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
98,season_m1_reg_ma,doubles,655,248,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
99,season_m1_reg_ma,doubles,655,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
100,season_m1_reg_ma,doubles,658,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
101,season_m1_reg_ma,doubles,658,547,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
102,season_m1_reg_ma,doubles,658,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
103,season_m1_reg_ma,doubles,670,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
104,season_m1_reg_ma,doubles,670,6,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
105,season_m1_reg_ma,doubles,670,59,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
106,season_m1_reg_ma,doubles,678,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
107,season_m1_reg_ma,doubles,678,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
108,season_m1_reg_ma,doubles,678,248,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
109,season_m1_reg_ma,doubles,727,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
110,season_m1_reg_ma,doubles,727,248,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
111,season_m1_reg_ma,doubles,727,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
112,season_m1_reg_ma,doubles,730,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
113,season_m1_reg_ma,doubles,730,71,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
114,season_m1_reg_ma,doubles,730,395,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
115,season_m1_reg_ma,doubles,763,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
116,season_m1_reg_ma,doubles,763,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
117,season_m1_reg_ma,doubles,763,903,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
118,season_m1_reg_ma,doubles,823,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
119,season_m1_reg_ma,doubles,823,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
120,season_m1_reg_ma,doubles,823,10009,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
121,season_m1_reg_ma,doubles,858,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
122,season_m1_reg_ma,doubles,858,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
123,season_m1_reg_ma,doubles,858,212,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
124,season_m1_reg_ma,doubles,900,903,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
125,season_m1_reg_ma,doubles,900,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
126,season_m1_reg_ma,doubles,900,448,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
127,season_m1_reg_ma,doubles,902,780,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
128,season_m1_reg_ma,doubles,902,143,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
129,season_m1_reg_ma,doubles,902,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
130,season_m1_reg_ma,doubles,903,681,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
131,season_m1_reg_ma,doubles,903,94,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
132,season_m1_reg_ma,doubles,903,302,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
133,season_m1_reg_ma,doubles,925,94,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
134,season_m1_reg_ma,doubles,925,302,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
135,season_m1_reg_ma,doubles,925,563,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
136,season_m1_reg_ma,doubles,936,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
137,season_m1_reg_ma,doubles,936,248,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
138,season_m1_reg_ma,doubles,936,635,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
139,season_m1_reg_ma,doubles,952,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
140,season_m1_reg_ma,doubles,952,6,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
141,season_m1_reg_ma,doubles,952,59,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
142,season_m1_reg_ma,doubles,964,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
143,season_m1_reg_ma,doubles,964,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
144,season_m1_reg_ma,doubles,964,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
145,season_m1_reg_ma,doubles,970,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
146,season_m1_reg_ma,doubles,970,1018,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
147,season_m1_reg_ma,doubles,970,448,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
148,season_m1_reg_ma,doubles,981,302,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
149,season_m1_reg_ma,doubles,981,442,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
150,season_m1_reg_ma,doubles,981,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
151,season_m1_reg_ma,doubles,983,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
152,season_m1_reg_ma,doubles,983,448,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
153,season_m1_reg_ma,doubles,983,658,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
154,season_m1_reg_ma,doubles,1013,780,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
155,season_m1_reg_ma,doubles,1013,18,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
156,season_m1_reg_ma,doubles,1013,727,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
157,season_m1_reg_ma,doubles,1018,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
158,season_m1_reg_ma,doubles,1018,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
159,season_m1_reg_ma,doubles,1018,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
160,season_m1_reg_ma,doubles,10009,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
161,season_m1_reg_ma,doubles,10009,445,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
162,season_m1_reg_ma,doubles,10009,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
163,season_m1_reg_ma,doubles,10012,3,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
164,season_m1_reg_ma,doubles,10012,445,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
165,season_m1_reg_ma,doubles,10012,1013,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
166,season_m1_reg_ma,doubles,10242,983,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
167,season_m1_reg_ma,doubles,10242,36,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
168,season_m1_reg_ma,doubles,10242,184,counter,medium,"Derived from current roster types, Champions move pool coverage and current tier snapshot."
