move_key,name_en,name_es,type_key,category_key,power,accuracy,pp,priority,targeting_key,makes_contact,is_sound,is_pulse,is_punch,is_bite,is_slashing,is_status,effect_short_en,effect_short_es,effect_long_en,effect_long_es,source_key
air_slash,Air Slash,Tajo Aéreo,flying,special,75,95,15,,unknown,0,0,0,0,0,1,0,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,Ataca con una hoja de aire que incluso corta el cielo. También puede hacer retroceder al objetivo.,The user attacks with a blade of air that slices even the sky. This may also make the target flinch.,Ataca con una hoja de aire que incluso corta el cielo. También puede hacer retroceder al objetivo.,championslab
alluring_voice,Alluring Voice,Canto Encantador,fairy,special,80,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted.,,The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted.,,championslab
ally_switch,Ally Switch,Cambio de Banda,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,Extraño poder que intercambia la posición del usuario con la de un aliado sobre el terreno de combate.,The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before.,Extraño poder que intercambia la posición del usuario con la de un aliado sobre el terreno de combate.,championslab
amnesia,Amnesia,Amnesia,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,El usuario olvida sus preocupaciones y aumenta mucho la Defensa Especial.,The user temporarily empties its mind to forget its concerns. This sharply boosts the user's Sp. Def stat.,El usuario olvida sus preocupaciones y aumenta mucho la Defensa Especial.,championslab
ancient_power,Ancient Power,Poder Pasado,rock,special,60,100,5,,unknown,0,0,0,0,0,0,0,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,Ataque prehistórico que puede subir todas las características.,The user attacks with a prehistoric power. This may also boost all the user's stats at once.,Ataque prehistórico que puede subir todas las características.,championslab
apple_acid,Apple Acid,Ácido Málico,grass,special,90,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,"Ataca al objetivo con el fluido corrosivo que desprende una manzana ácida, lo que también disminuye la Defensa Especial de este.",The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.,"Ataca al objetivo con el fluido corrosivo que desprende una manzana ácida, lo que también disminuye la Defensa Especial de este.",championslab
aqua_cutter,Aqua Cutter,Aqua Cutter,water,physical,70,100,20,,unknown,0,0,0,0,0,0,0,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,,The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.,,championslab
aqua_jet,Aqua Jet,Acua Jet,water,physical,40,100,20,,unknown,0,0,0,0,0,0,0,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",Ataque rápido que permite golpear en primer lugar.,"The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first.",Ataque rápido que permite golpear en primer lugar.,championslab
aqua_ring,Aqua Ring,Acua Aro,water,status,,,20,,unknown,0,0,0,0,0,0,1,The user gains the Aqua Ring status.,Un manto de agua cubre al Pokémon que lo usa. Recupera algunos PS en cada turno.,The user gains the Aqua Ring status.,Un manto de agua cubre al Pokémon que lo usa. Recupera algunos PS en cada turno.,championslab
aqua_step,Aqua Step,Aqua Step,water,physical,80,100,10,,unknown,0,0,0,0,0,0,0,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.,,The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.,,championslab
aqua_tail,Aqua Tail,Acua Cola,water,physical,90,90,10,,unknown,0,0,0,0,0,0,0,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,Ataca agitando la cola como si fuera una ola rabiosa en una tormenta devastadora.,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.,Ataca agitando la cola como si fuera una ola rabiosa en una tormenta devastadora.,championslab
armor_cannon,Armor Cannon,Armor Cannon,fire,special,120,100,5,,unknown,0,0,0,0,0,0,0,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,,The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.,,championslab
aromatherapy,Aromatherapy,Aromaterapia,grass,status,,,5,,unknown,0,0,0,0,0,0,1,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",Cura todos los problemas de estado del equipo con un suave aroma.,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",Cura todos los problemas de estado del equipo con un suave aroma.,championslab
aromatic_mist,Aromatic Mist,Niebla Aromática,fairy,status,,,20,,unknown,0,0,0,0,0,0,1,Boosts an ally's Sp. Def stat by 1 stage.,Consigue aumentar la Defensa Especial de un Pokémon de su equipo con una fragancia misteriosa.,Boosts an ally's Sp. Def stat by 1 stage.,Consigue aumentar la Defensa Especial de un Pokémon de su equipo con una fragancia misteriosa.,championslab
assurance,Assurance,Buena Baza,dark,physical,60,100,10,,unknown,0,0,0,0,0,0,0,This move's power is doubled if the target has already taken some damage in the same turn.,"Si el objetivo ya ha sufrido daño en ese turno, la fuerza del ataque se duplica.",This move's power is doubled if the target has already taken some damage in the same turn.,"Si el objetivo ya ha sufrido daño en ese turno, la fuerza del ataque se duplica.",championslab
attract,Attract,Atracción,normal,status,0,100,15,,unknown,0,0,0,0,0,0,1,Makes the opposite gender infatuated.,"Si el objetivo es del sexo opuesto, se enamorará y bajará la posibilidad de que ataque.",Makes the opposite gender infatuated.,"Si el objetivo es del sexo opuesto, se enamorará y bajará la posibilidad de que ataque.",championslab
aura_sphere,Aura Sphere,Esfera Aural,fighting,special,80,,20,,unknown,0,0,1,0,0,0,0,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,Libera una descarga de la fuerza del aura desde su interior. Es infalible.,The user lets loose a pulse of aura power from deep within its body at the target. This attack never misses.,Libera una descarga de la fuerza del aura desde su interior. Es infalible.,championslab
aura_wheel,Aura Wheel,Rueda Aural,electric,physical,110,100,10,,unknown,0,0,0,0,0,0,0,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,La energía que acumula en las mejillas le sirve para atacar y aumentar su Velocidad. Este movimiento cambia de tipo según la forma que adopte Morpeko.,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.,La energía que acumula en las mejillas le sirve para atacar y aumentar su Velocidad. Este movimiento cambia de tipo según la forma que adopte Morpeko.,championslab
aurora_veil,Aurora Veil,Velo Aurora,ice,status,,,20,,unknown,0,0,0,0,0,0,1,Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow.,Reduce el daño de los ataques físicos y especiales que ejecuta el rival durante cinco turnos. Solo puede usarse cuando está granizando.,Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow.,Reduce el daño de los ataques físicos y especiales que ejecuta el rival durante cinco turnos. Solo puede usarse cuando está granizando.,championslab
avalanche,Avalanche,Alud,ice,physical,60,100,10,,unknown,0,0,0,0,0,0,0,An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.,Este ataque inflige el doble de daño a un objetivo que haya golpeado al usuario en ese mismo turno.,An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.,Este ataque inflige el doble de daño a un objetivo que haya golpeado al usuario en ese mismo turno.,championslab
axe_kick,Axe Kick,Axe Kick,fighting,physical,120,90,10,,unknown,0,0,0,0,0,0,0,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",,"The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.",,championslab
baby_doll_eyes,Baby-Doll Eyes,Ojitos Tiernos,fairy,status,,100,30,,unknown,0,0,0,0,0,0,1,"The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.","Lanza una mirada al Pokémon objetivo con ojos acaramelados, con lo que logra que su Ataque se reduzca. El que lo usa siempre ataca primero.","The user stares at the target with its baby-doll eyes, which lowers the target's Attack stat. This move always goes first.","Lanza una mirada al Pokémon objetivo con ojos acaramelados, con lo que logra que su Ataque se reduzca. El que lo usa siempre ataca primero.",championslab
baneful_bunker,Baneful Bunker,Búnker,poison,status,,,10,,unknown,0,0,0,0,0,0,1,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.","Protege de los ataques y, al mismo tiempo, envenena al Pokémon que use un movimiento de contacto contra el usuario.","In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.","Protege de los ataques y, al mismo tiempo, envenena al Pokémon que use un movimiento de contacto contra el usuario.",championslab
baton_pass,Baton Pass,Relevo,normal,status,,,40,,unknown,0,0,0,0,0,0,1,The user switches places with a party Pokémon in waiting and passes along any stat changes.,Cambia el puesto con un compañero y le pasa los cambios de características.,The user switches places with a party Pokémon in waiting and passes along any stat changes.,Cambia el puesto con un compañero y le pasa los cambios de características.,championslab
beak_blast,Beak Blast,Pico Cañón,flying,physical,120,100,15,,unknown,0,0,0,0,0,0,0,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.",Primero aumenta la temperatura de su pico y luego ejecuta un ataque. Quema al rival si este le propina un ataque físico mientras está calentando el pico.,"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it’s heating up its beak results in a burn.",Primero aumenta la temperatura de su pico y luego ejecuta un ataque. Quema al rival si este le propina un ataque físico mientras está calentando el pico.,championslab
beat_up,Beat Up,Paliza,dark,physical,,100,20,,unknown,0,0,0,0,0,0,0,The target is attacked as many times as the number of Pokémon in the user's party. Pokémon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pokémon.,"Ataque de todo el equipo Pokémon. Cuantos más haya, más veces se atacará.",The target is attacked as many times as the number of Pokémon in the user's party. Pokémon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pokémon.,"Ataque de todo el equipo Pokémon. Cuantos más haya, más veces se atacará.",championslab
belch,Belch,Eructo,poison,special,120,90,5,,unknown,0,0,0,0,0,0,0,This move fails unless the user has eaten a Berry during the battle.,El Pokémon causa daño a su oponente lanzándole un eructo. Para poder utilizar este movimiento tiene que llevar una baya y comérsela.,This move fails unless the user has eaten a Berry during the battle.,El Pokémon causa daño a su oponente lanzándole un eructo. Para poder utilizar este movimiento tiene que llevar una baya y comérsela.,championslab
belly_drum,Belly Drum,Tambor,normal,status,,,10,,unknown,0,0,0,0,0,0,1,The user maximizes its Attack stat but loses HP equal to half its max HP.,Reduce la mitad de los PS máximos para mejorar al máximo el Ataque.,The user maximizes its Attack stat but loses HP equal to half its max HP.,Reduce la mitad de los PS máximos para mejorar al máximo el Ataque.,championslab
bind,Bind,Atadura,normal,physical,15,85,20,,unknown,0,0,0,0,0,0,0,Binds the target for 2-5 turns.,Ata y oprime de cuatro a cinco turnos.,Binds the target for 2-5 turns.,Ata y oprime de cuatro a cinco turnos.,championslab
bite,Bite,Mordisco,dark,physical,60,100,25,,unknown,0,0,0,0,0,0,0,The target is bitten with viciously sharp fangs. This may also make the target flinch.,Un voraz bocado que puede hacer retroceder al objetivo.,The target is bitten with viciously sharp fangs. This may also make the target flinch.,Un voraz bocado que puede hacer retroceder al objetivo.,championslab
bitter_blade,Bitter Blade,Bitter Blade,fire,physical,90,100,10,,unknown,0,0,0,0,0,0,0,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.,,The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.,,championslab
bitter_malice,Bitter Malice,Bitter Malice,ghost,special,75,100,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.,,championslab
blast_burn,Blast Burn,Anillo Ígneo,fire,special,150,90,5,,unknown,0,0,0,0,0,0,0,The user gains the Recharging status on the turn after this move is used.,Explosión de fuego. El atacante debe descansar el siguiente turno.,The user gains the Recharging status on the turn after this move is used.,Explosión de fuego. El atacante debe descansar el siguiente turno.,championslab
blaze_kick,Blaze Kick,Patada Ígnea,fire,physical,85,90,10,,unknown,0,0,0,0,0,0,0,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,Patada que suele ser un golpe crítico y puede causar quemaduras.,The user launches a kick that has a heightened chance of landing a critical hit. This may also leave the target with a burn.,Patada que suele ser un golpe crítico y puede causar quemaduras.,championslab
blizzard,Blizzard,Ventisca,ice,special,110,70,5,,unknown,0,0,0,0,0,0,0,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,Tormenta de hielo que puede llegar a congelar.,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.,Tormenta de hielo que puede llegar a congelar.,championslab
block,Block,Bloqueo,normal,status,,,5,,unknown,0,0,0,0,0,0,1,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,Le corta el paso al objetivo para que no pueda escapar.,The user blocks the target's way with arms spread wide to prevent the target from fleeing.,Le corta el paso al objetivo para que no pueda escapar.,championslab
body_press,Body Press,Plancha Corporal,fighting,physical,80,100,10,,unknown,0,0,0,0,0,0,0,"The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals.",El usuario usa el cuerpo para lanzar su ataque e infligir un daño directamente proporcional a su Defensa.,"The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals.",El usuario usa el cuerpo para lanzar su ataque e infligir un daño directamente proporcional a su Defensa.,championslab
body_slam,Body Slam,Golpe Cuerpo,normal,physical,85,100,15,,unknown,0,0,0,0,0,0,0,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,Salta sobre el objetivo con todo su peso. Puede paralizar.,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,Salta sobre el objetivo con todo su peso. Puede paralizar.,championslab
bone_rush,Bone Rush,Ataque Óseo,ground,physical,30,90,10,,unknown,0,0,0,0,0,0,0,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,"Hueso en ristre, aporrea al objetivo de dos a cinco veces.",The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,"Hueso en ristre, aporrea al objetivo de dos a cinco veces.",championslab
boomburst,Boomburst,Estruendo,normal,special,140,100,5,,unknown,0,1,0,0,0,0,0,The user attacks everything around it with the destructive power of a terrible explosive sound.,Ataca a todos los Pokémon a su alrededor con una potentísima onda sonora.,The user attacks everything around it with the destructive power of a terrible explosive sound.,Ataca a todos los Pokémon a su alrededor con una potentísima onda sonora.,championslab
bounce,Bounce,Bote,flying,physical,85,85,15,,unknown,0,0,0,0,0,0,0,The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target.,Primer turno: bota. Segundo turno: golpea. Puede paralizar.,The user gains the Sky-High status on the turn this move is used then attacks on the following turn. This move has a 30% chance of paralyzing the target.,Primer turno: bota. Segundo turno: golpea. Puede paralizar.,championslab
brave_bird,Brave Bird,Pájaro Osado,flying,physical,120,100,15,,unknown,1,0,0,0,0,0,0,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,Pliega sus alas y ataca con un vuelo rasante. El Pokémon que lo usa también resulta seriamente dañado.,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,Pliega sus alas y ataca con un vuelo rasante. El Pokémon que lo usa también resulta seriamente dañado.,championslab
breaking_swipe,Breaking Swipe,Vasto Impacto,dragon,physical,60,100,15,,unknown,0,0,0,0,0,0,0,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,El usuario sacude violentamente su enorme cola para golpear a todos los rivales y reducir su Ataque a la par.,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,El usuario sacude violentamente su enorme cola para golpear a todos los rivales y reducir su Ataque a la par.,championslab
brick_break,Brick Break,Demolición,fighting,physical,75,100,15,,unknown,0,0,0,0,0,0,0,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",Potente ataque que también es capaz de destruir barreras como Pantalla de Luz y Reflejo.,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",Potente ataque que también es capaz de destruir barreras como Pantalla de Luz y Reflejo.,championslab
brutal_swing,Brutal Swing,Giro Vil,dark,physical,60,100,20,,unknown,0,0,0,0,0,0,0,The user swings its body around violently to inflict damage on everything in its vicinity.,Hace pivotar su cuerpo para infligir daño a su rival.,The user swings its body around violently to inflict damage on everything in its vicinity.,Hace pivotar su cuerpo para infligir daño a su rival.,championslab
bug_bite,Bug Bite,Picadura,bug,physical,60,100,20,,unknown,0,0,0,0,0,0,0,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.","Pica al objetivo. Si el objetivo lleva una baya, el usuario se la come y se beneficia de su efecto.","The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.","Pica al objetivo. Si el objetivo lleva una baya, el usuario se la come y se beneficia de su efecto.",championslab
bug_buzz,Bug Buzz,Zumbido,bug,special,90,100,10,,unknown,0,0,0,0,0,0,0,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,El movimiento de las alas crea una onda sónica dañina. También puede disminuir la Defensa Especial del objetivo.,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,El movimiento de las alas crea una onda sónica dañina. También puede disminuir la Defensa Especial del objetivo.,championslab
bulk_up,Bulk Up,Corpulencia,fighting,status,,,20,,unknown,0,0,0,0,0,0,1,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",Robustece el cuerpo para subir el Ataque y la Defensa.,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",Robustece el cuerpo para subir el Ataque y la Defensa.,championslab
bulldoze,Bulldoze,Terratemblor,ground,physical,60,100,20,,unknown,0,0,0,0,0,0,0,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,Sacudida sísmica que afecta a los demás Pokémon adyacentes y también reduce su Velocidad.,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,Sacudida sísmica que afecta a los demás Pokémon adyacentes y también reduce su Velocidad.,championslab
bullet_punch,Bullet Punch,Puño Bala,steel,physical,40,100,30,,unknown,0,0,0,1,0,0,0,The user strikes the target with tough punches as fast as bullets. This move always goes first.,Ataca con fuertes puñetazos tan rápidos como proyectiles. Este movimiento siempre va primero.,The user strikes the target with tough punches as fast as bullets. This move always goes first.,Ataca con fuertes puñetazos tan rápidos como proyectiles. Este movimiento siempre va primero.,championslab
bullet_seed,Bullet Seed,Semilladora,grass,physical,25,100,30,,unknown,0,0,0,0,0,0,0,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,Dispara rápido de dos a cinco ráfagas de semillas de manera consecutiva.,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,Dispara rápido de dos a cinco ráfagas de semillas de manera consecutiva.,championslab
burn_up,Burn Up,Llama Final,fire,special,130,100,5,,unknown,0,0,0,0,0,0,0,The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type.,"Utiliza hasta el último resquicio de llamas de su cuerpo para infligir un grave daño al oponente. Tras el ataque, el usuario deja de ser de tipo Fuego.",The user loses the Fire type. Cures the user of being frozen. This move fails unless it is used by a Fire type.,"Utiliza hasta el último resquicio de llamas de su cuerpo para infligir un grave daño al oponente. Tras el ataque, el usuario deja de ser de tipo Fuego.",championslab
burning_jealousy,Burning Jealousy,Envidia Ardiente,fire,special,70,100,5,,unknown,0,0,0,0,0,0,0,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,Ataca al objetivo con la energía generada por la envidia y causa quemaduras a los Pokémon cuyas características hayan aumentado en ese turno.,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,Ataca al objetivo con la energía generada por la envidia y causa quemaduras a los Pokémon cuyas características hayan aumentado en ese turno.,championslab
calm_mind,Calm Mind,Paz Mental,psychic,status,,,20,,unknown,0,0,0,0,0,0,1,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,Aumenta la concentración y calma el espíritu para subir el Ataque Especial y la Defensa Especial.,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,Aumenta la concentración y calma el espíritu para subir el Ataque Especial y la Defensa Especial.,championslab
captivate,Captivate,Seducción,normal,status,,100,20,,unknown,0,0,0,0,0,0,1,"If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat.","Si el objetivo es del sexo opuesto, queda embelesado y baja mucho su Ataque Especial.","If it is the opposite gender of the user, the foe is charmed into sharply lowering its Sp. Atk stat.","Si el objetivo es del sexo opuesto, queda embelesado y baja mucho su Ataque Especial.",championslab
ceaseless_edge,Ceaseless Edge,Ceaseless Edge,dark,physical,65,90,15,,unknown,0,0,0,0,0,0,0,The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.,,The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.,,championslab
charge,Charge,Carga,electric,status,,,20,,unknown,0,0,0,0,0,0,1,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.",Recarga energía para potenciar el siguiente movimiento de tipo Eléctrico. También sube la Defensa Especial.,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.",Recarga energía para potenciar el siguiente movimiento de tipo Eléctrico. También sube la Defensa Especial.,championslab
charge_beam,Charge Beam,Rayo Carga,electric,special,50,90,10,,unknown,0,0,0,0,0,0,0,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,Lanza un rayo eléctrico contra el objetivo. Puede subir el Ataque Especial de quien lo usa.,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,Lanza un rayo eléctrico contra el objetivo. Puede subir el Ataque Especial de quien lo usa.,championslab
charm,Charm,Encanto,fairy,status,,100,20,,unknown,0,0,0,0,0,0,1,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",Engatusa al objetivo y reduce bastante su Ataque.,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",Engatusa al objetivo y reduce bastante su Ataque.,championslab
chilling_water,Chilling Water,Chilling Water,water,special,50,100,20,,unknown,0,0,0,0,0,0,0,The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.,,The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.,,championslab
chilly_reception,Chilly Reception,Chilly Reception,ice,status,,,20,,unknown,0,0,0,0,0,0,1,Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pokémon.,,Summons snow for 5 turns. The user switches out of battle to be replaced by another party Pokémon.,,championslab
circle_throw,Circle Throw,Llave Giro,fighting,physical,60,90,10,,unknown,0,0,0,0,0,0,0,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Lanza por los aires al objetivo y hace que salga otro Pokémon. Si es uno salvaje, acaba el combate.","The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","Lanza por los aires al objetivo y hace que salga otro Pokémon. Si es uno salvaje, acaba el combate.",championslab
clanging_scales,Clanging Scales,Fragor Escamas,dragon,special,110,100,5,,unknown,0,1,0,0,0,0,0,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,"Frota todas las escamas de su cuerpo para crear un fuerte sonido con el que ataca. Cuando el ataque termina, su Defensa se ve reducida.",The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,"Frota todas las escamas de su cuerpo para crear un fuerte sonido con el que ataca. Cuando el ataque termina, su Defensa se ve reducida.",championslab
