move_key,name_en,confirmed_user_count,inferred_user_count,move_pool_user_count,observed_set_user_count,users
blizzard,Blizzard,58,0,58,6,"Blastoise,Clefable,Slowbro,Kangaskhan,Starmie,Tauros,Gyarados,Vaporeon,Snorlax,Dragonite,Feraligatr,Azumarill,Politoed,Slowking,Tyranitar,Pelipper,Aggron,Sharpedo,Milotic,Castform,Absol,Glalie,Empoleon,Rampardos,Bastiodon,Lopunny,Abomasnow,Weavile,Rhyperior,Glaceon,Mamoswine,Froslass,Samurott,Simipour,Audino,Vanilluxe,Beartic,Greninja,Clawitzer,Aurorus,Goodra,Avalugg,Primarina,Crabominable,Toxapex,Araquanid,Drampa,Mr. Rime,Basculegion (Basculegion-M),Palafin,Rotom (Frost Rotom),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Basculegion (Basculegion-F)"
block,Block,13,0,13,0,"Slowbro,Snorlax,Feraligatr,Slowking,Steelix,Glalie,Bastiodon,Froslass,Aegislash,Mr. Rime,Garganacl,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
body_press,Body Press,43,0,43,16,"Blastoise,Slowbro,Snorlax,Dragonite,Meganium,Forretress,Steelix,Skarmory,Tyranitar,Aggron,Camerupt,Torkoal,Torterra,Rampardos,Bastiodon,Hippowdon,Abomasnow,Rhyperior,Mamoswine,Emboar,Cofagrigus,Garbodor,Beartic,Golurk,Chesnaught,Hawlucha,Goodra,Avalugg,Crabominable,Mudsdale,Kommo-o,Corviknight,Appletun,Sandaconda,Runerigus,Garganacl,Orthworm,Hydrapple,Slowbro (Galarian Slowbro),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
body_slam,Body Slam,133,0,133,9,"Venusaur,Charizard,Blastoise,Arbok,Pikachu,Raichu,Clefable,Ninetales,Arcanine,Alakazam,Machamp,Victreebel,Slowbro,Gengar,Kangaskhan,Pinsir,Tauros,Gyarados,Vaporeon,Jolteon,Flareon,Snorlax,Dragonite,Meganium,Typhlosion,Feraligatr,Ariados,Ampharos,Azumarill,Politoed,Espeon,Umbreon,Slowking,Forretress,Steelix,Heracross,Houndoom,Tyranitar,Pelipper,Gardevoir,Sableye,Aggron,Medicham,Manectric,Camerupt,Torkoal,Altaria,Milotic,Castform,Absol,Glalie,Torterra,Infernape,Empoleon,Luxray,Roserade,Rampardos,Bastiodon,Spiritomb,Garchomp,Lucario,Hippowdon,Abomasnow,Rhyperior,Leafeon,Glaceon,Mamoswine,Gallade,Froslass,Serperior,Emboar,Samurott,Excadrill,Audino,Conkeldurr,Krookodile,Garbodor,Zoroark,Reuniclus,Beartic,Golurk,Hydreigon,Volcarona,Chesnaught,Diggersby,Pangoro,Clawitzer,Tyrantrum,Aurorus,Sylveon,Hawlucha,Goodra,Avalugg,Noivern,Incineroar,Primarina,Crabominable,Lycanroc,Toxapex,Mudsdale,Araquanid,Salazzle,Oranguru,Passimian,Drampa,Kommo-o,Corviknight,Appletun,Sandaconda,Mr. Rime,Dragapult,Wyrdeer,Skeledirge,Garganacl,Espathra,Palafin,Orthworm,Farigiraf,Archaludon,Hydrapple,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bone_rush,Bone Rush,1,0,1,0,Lucario
boomburst,Boomburst,5,0,5,0,"Chimecho,Noivern,Toucannon,Kommo-o,Palafin"
bounce,Bounce,19,0,19,0,"Clefable,Gyarados,Ariados,Azumarill,Politoed,Sharpedo,Absol,Lopunny,Toxicroak,Zoroark,Stunfisk,Greninja,Diggersby,Clawitzer,Hawlucha,Tsareena,Palafin,Stunfisk (Galarian Stunfisk),Zoroark (Hisuian Zoroark)"
brave_bird,Brave Bird,11,0,11,8,"Pidgeot,Skarmory,Altaria,Talonflame,Hawlucha,Decidueye,Toucannon,Corviknight,Quaquaval,Espathra,Decidueye (Hisuian Decidueye)"
breaking_swipe,Breaking Swipe,27,0,27,1,"Charizard,Arbok,Dragonite,Feraligatr,Ampharos,Steelix,Tyranitar,Altaria,Milotic,Rampardos,Garchomp,Rhyperior,Gliscor,Serperior,Krookodile,Hydreigon,Heliolisk,Tyrantrum,Goodra,Noivern,Salazzle,Drampa,Kommo-o,Dragapult,Archaludon,Hydrapple,Goodra (Hisuian Goodra)"
brick_break,Brick Break,80,0,80,1,"Charizard,Blastoise,Beedrill,Pikachu,Raichu,Clefable,Machamp,Slowbro,Gengar,Kangaskhan,Pinsir,Snorlax,Dragonite,Typhlosion,Feraligatr,Ampharos,Azumarill,Politoed,Slowking,Scizor,Heracross,Tyranitar,Sableye,Aggron,Medicham,Infernape,Empoleon,Rampardos,Garchomp,Lucario,Toxicroak,Abomasnow,Weavile,Rhyperior,Gliscor,Gallade,Emboar,Samurott,Simisage,Simisear,Simipour,Excadrill,Conkeldurr,Krookodile,Zoroark,Beartic,Golurk,Chesnaught,Greninja,Diggersby,Pangoro,Aegislash,Tyrantrum,Hawlucha,Noivern,Incineroar,Toucannon,Crabominable,Lycanroc,Oranguru,Passimian,Kommo-o,Mr. Rime,Morpeko,Kleavor,Sneasler,Meowscarada,Quaquaval,Garganacl,Ceruledge,Tinkaton,Kingambit,Archaludon,Raichu (Alolan Raichu),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Decidueye (Hisuian Decidueye)"
brutal_swing,Brutal Swing,47,0,47,0,"Charizard,Beedrill,Arbok,Raichu,Machamp,Pinsir,Gyarados,Aerodactyl,Dragonite,Feraligatr,Ampharos,Azumarill,Steelix,Scizor,Heracross,Tyranitar,Aggron,Manectric,Milotic,Absol,Lopunny,Garchomp,Rhyperior,Gliscor,Serperior,Excadrill,Conkeldurr,Krookodile,Hydreigon,Greninja,Diggersby,Pangoro,Aegislash,Heliolisk,Tyrantrum,Goodra,Trevenant,Gourgeist,Incineroar,Crabominable,Passimian,Kommo-o,Sandaconda,Hatterene,Runerigus,Kleavor,Tinkaton"
bug_bite,Bug Bite,12,0,12,1,"Beedrill,Victreebel,Pinsir,Ariados,Forretress,Scizor,Heracross,Volcarona,Vivillon,Araquanid,Kleavor,Hydrapple"
bug_buzz,Bug Buzz,9,0,9,2,"Beedrill,Ariados,Forretress,Scizor,Heracross,Volcarona,Vivillon,Araquanid,Kleavor"
bulk_up,Bulk Up,34,0,34,4,"Machamp,Starmie,Pinsir,Heracross,Sableye,Medicham,Infernape,Lucario,Toxicroak,Gallade,Emboar,Conkeldurr,Krookodile,Beartic,Chesnaught,Diggersby,Talonflame,Pangoro,Hawlucha,Incineroar,Crabominable,Lycanroc,Passimian,Mimikyu,Kommo-o,Corviknight,Sneasler,Quaquaval,Ceruledge,Palafin,Decidueye (Hisuian Decidueye),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bulldoze,Bulldoze,91,0,91,0,"Venusaur,Charizard,Blastoise,Arbok,Arcanine,Machamp,Slowbro,Kangaskhan,Pinsir,Tauros,Gyarados,Aerodactyl,Snorlax,Dragonite,Meganium,Typhlosion,Feraligatr,Ampharos,Azumarill,Politoed,Slowking,Forretress,Steelix,Heracross,Tyranitar,Aggron,Sharpedo,Camerupt,Torkoal,Altaria,Milotic,Glalie,Torterra,Infernape,Empoleon,Rampardos,Bastiodon,Garchomp,Lucario,Hippowdon,Toxicroak,Abomasnow,Rhyperior,Gliscor,Mamoswine,Gallade,Emboar,Samurott,Excadrill,Conkeldurr,Krookodile,Beartic,Stunfisk,Golurk,Hydreigon,Chesnaught,Diggersby,Pangoro,Heliolisk,Tyrantrum,Aurorus,Goodra,Trevenant,Avalugg,Incineroar,Crabominable,Lycanroc,Mudsdale,Oranguru,Passimian,Drampa,Kommo-o,Appletun,Sandaconda,Runerigus,Wyrdeer,Garganacl,Tinkaton,Orthworm,Farigiraf,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Stunfisk (Galarian Stunfisk),Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bullet_punch,Bullet Punch,6,0,6,5,"Machamp,Scizor,Medicham,Lucario,Toxicroak,Pangoro"
bullet_seed,Bullet Seed,24,0,24,1,"Venusaur,Victreebel,Meganium,Heracross,Torterra,Roserade,Abomasnow,Leafeon,Serperior,Watchog,Simisage,Chesnaught,Gourgeist,Decidueye,Toucannon,Tsareena,Flapple,Appletun,Morpeko,Meowscarada,Maushold,Scovillain,Hydrapple,Decidueye (Hisuian Decidueye)"
burn_up,Burn Up,8,0,8,0,"Arcanine,Typhlosion,Emboar,Skeledirge,Armarouge,Ceruledge,Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion)"
burning_jealousy,Burning Jealousy,21,0,21,0,"Ninetales,Flareon,Typhlosion,Houndoom,Camerupt,Torkoal,Banette,Infernape,Spiritomb,Liepard,Simisear,Zoroark,Chandelure,Delphox,Trevenant,Incineroar,Salazzle,Mimikyu,Scovillain,Typhlosion (Hisuian Typhlosion),Zoroark (Hisuian Zoroark)"
calm_mind,Calm Mind,62,0,62,15,"Clefable,Ninetales,Alakazam,Slowbro,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Slowking,Gardevoir,Sableye,Medicham,Banette,Chimecho,Absol,Infernape,Spiritomb,Lucario,Weavile,Leafeon,Glaceon,Gallade,Serperior,Audino,Cofagrigus,Zoroark,Reuniclus,Chandelure,Volcarona,Delphox,Vivillon,Floette,Florges,Meowstic (Meowstic-M),Aromatisse,Slurpuff,Aurorus,Sylveon,Klefki,Trevenant,Primarina,Oranguru,Drampa,Polteageist,Hatterene,Mr. Rime,Runerigus,Alcremie,Wyrdeer,Sneasler,Armarouge,Espathra,Farigiraf,Sinistcha,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Typhlosion (Hisuian Typhlosion),Zoroark (Hisuian Zoroark),Meowstic (Meowstic-F)"
captivate,Captivate,1,0,1,0,Tsareena
ceaseless_edge,Ceaseless Edge,1,0,1,1,Samurott (Hisuian Samurott)
charge,Charge,19,0,19,1,"Pikachu,Raichu,Jolteon,Ampharos,Manectric,Luxray,Rotom,Emolga,Stunfisk,Heliolisk,Dedenne,Morpeko,Bellibolt,Rotom (Heat Rotom),Rotom (Wash Rotom),Rotom (Frost Rotom),Rotom (Fan Rotom),Rotom (Mow Rotom),Raichu (Alolan Raichu)"
charge_beam,Charge Beam,30,0,30,1,"Pikachu,Raichu,Clefable,Starmie,Jolteon,Ampharos,Gardevoir,Manectric,Banette,Chimecho,Luxray,Gallade,Rotom,Emolga,Golurk,Meowstic (Meowstic-M),Heliolisk,Dedenne,Oranguru,Morpeko,Wyrdeer,Bellibolt,Farigiraf,Rotom (Heat Rotom),Rotom (Wash Rotom),Rotom (Frost Rotom),Rotom (Fan Rotom),Rotom (Mow Rotom),Raichu (Alolan Raichu),Meowstic (Meowstic-F)"
charm,Charm,54,0,54,3,"Venusaur,Pikachu,Raichu,Clefable,Ninetales,Arcanine,Vaporeon,Jolteon,Flareon,Snorlax,Meganium,Azumarill,Espeon,Umbreon,Gardevoir,Camerupt,Chimecho,Empoleon,Roserade,Lopunny,Leafeon,Mamoswine,Gallade,Froslass,Liepard,Whimsicott,Reuniclus,Emolga,Beartic,Delphox,Floette,Florges,Furfrou,Meowstic (Meowstic-M),Aromatisse,Slurpuff,Tyrantrum,Sylveon,Dedenne,Goodra,Primarina,Lycanroc,Tsareena,Mimikyu,Hatterene,Mr. Rime,Alcremie,Meowscarada,Maushold,Palafin,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Goodra (Hisuian Goodra),Meowstic (Meowstic-F)"
chilling_water,Chilling Water,55,0,55,0,"Blastoise,Clefable,Slowbro,Starmie,Gyarados,Vaporeon,Snorlax,Dragonite,Feraligatr,Azumarill,Politoed,Slowking,Pelipper,Sharpedo,Milotic,Castform,Glalie,Empoleon,Toxicroak,Abomasnow,Weavile,Glaceon,Froslass,Samurott,Simipour,Audino,Vanilluxe,Beartic,Greninja,Floette,Florges,Clawitzer,Aurorus,Goodra,Avalugg,Primarina,Crabominable,Toxapex,Araquanid,Oranguru,Passimian,Mr. Rime,Basculegion (Basculegion-M),Meowscarada,Quaquaval,Maushold,Bellibolt,Palafin,Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Tauros (Paldean Tauros (Aqua)),Basculegion (Basculegion-F)"
chilly_reception,Chilly Reception,2,0,2,0,"Slowking,Slowking (Galarian Slowking)"
circle_throw,Circle Throw,6,0,6,0,"Kangaskhan,Pinsir,Heracross,Lopunny,Lucario,Pangoro"
clanging_scales,Clanging Scales,1,0,1,1,Kommo-o
clangorous_soul,Clangorous Soul,1,0,1,0,Kommo-o
clear_smog,Clear Smog,7,0,7,0,"Victreebel,Gengar,Torkoal,Garbodor,Chandelure,Armarouge,Ceruledge"
close_combat,Close Combat,40,0,40,31,"Arcanine,Machamp,Pinsir,Tauros,Scizor,Heracross,Medicham,Sharpedo,Absol,Infernape,Lopunny,Lucario,Toxicroak,Gallade,Emboar,Conkeldurr,Krookodile,Beartic,Golurk,Chesnaught,Pangoro,Aegislash,Tyrantrum,Hawlucha,Incineroar,Crabominable,Lycanroc,Mudsdale,Passimian,Kommo-o,Kleavor,Sneasler,Quaquaval,Ceruledge,Palafin,Arcanine (Hisuian Arcanine),Decidueye (Hisuian Decidueye),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
coaching,Coaching,18,0,18,3,"Machamp,Heracross,Medicham,Infernape,Lucario,Toxicroak,Gallade,Emboar,Conkeldurr,Chesnaught,Pangoro,Hawlucha,Crabominable,Passimian,Kommo-o,Sneasler,Quaquaval,Decidueye (Hisuian Decidueye)"
coil,Coil,5,0,5,4,"Arbok,Milotic,Serperior,Sandaconda,Orthworm"
comeuppance,Comeuppance,3,0,3,0,"Houndoom,Pangoro,Zoroark (Hisuian Zoroark)"
confide,Confide,1,0,1,0,Tsareena
confuse_ray,Confuse Ray,50,0,50,0,"Ninetales,Gengar,Starmie,Ampharos,Espeon,Umbreon,Gardevoir,Sableye,Milotic,Banette,Absol,Luxray,Spiritomb,Gallade,Froslass,Rotom,Watchog,Cofagrigus,Zoroark,Reuniclus,Chandelure,Golurk,Delphox,Vivillon,Trevenant,Gourgeist,Decidueye,Mimikyu,Polteageist,Mr. Rime,Runerigus,Dragapult,Wyrdeer,Basculegion (Basculegion-M),Armarouge,Ceruledge,Bellibolt,Espathra,Glimmora,Farigiraf,Rotom (Heat Rotom),Rotom (Wash Rotom),Rotom (Frost Rotom),Rotom (Fan Rotom),Rotom (Mow Rotom),Ninetales (Alolan Ninetales),Typhlosion (Hisuian Typhlosion),Zoroark (Hisuian Zoroark),Decidueye (Hisuian Decidueye),Basculegion (Basculegion-F)"
copycat,Copycat,23,0,23,0,"Clefable,Vaporeon,Jolteon,Flareon,Azumarill,Espeon,Umbreon,Lopunny,Lucario,Leafeon,Glaceon,Samurott,Liepard,Delphox,Floette,Florges,Slurpuff,Sylveon,Mimikyu,Mr. Rime,Meowscarada,Maushold,Samurott (Hisuian Samurott)"
corrosive_gas,Corrosive Gas,4,0,4,0,"Gengar,Toxicroak,Garbodor,Salazzle"
