pokemon_id,species_key,form_key,name_en,name_es,form_name_en,form_name_es,type1_key,type2_key,tier_value,roles,roles_es,archetypes,archetypes_es
196,espeon,,Espeon,Espeon,,,psychic,,D,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
197,umbreon,,Umbreon,Umbreon,,,dark,,D,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
199,slowking,,Slowking,Slowking,,,water,psychic,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
205,forretress,,Forretress,Forretress,,,bug,steel,D,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Trick Room,Espacio Raro
208,steelix,,Steelix,Steelix,,,steel,ground,B,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
212,scizor,,Scizor,Scizor,,,bug,steel,A,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Tailwind,Viento Afn
214,heracross,,Heracross,Heracross,,,bug,fighting,A,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
227,skarmory,,Skarmory,Skarmory,,,steel,flying,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Tailwind,Viento Afn
229,houndoom,,Houndoom,Houndoom,,,dark,fire,B,Bulky Support,Soporte Resistente,Offense,Ofensiva
248,tyranitar,,Tyranitar,Tyranitar,,,rock,dark,A,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Sand,Arena
279,pelipper,,Pelipper,Pelipper,,,water,flying,A,"Bulky Support, Pivot, Speed Control, Weather Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Clima","Rain, Tailwind","Lluvia, Viento Afn"
282,gardevoir,,Gardevoir,Gardevoir,,,psychic,fairy,A,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador","Sand, Trick Room","Arena, Espacio Raro"
302,sableye,,Sableye,Sableye,,,dark,ghost,A,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Trick Room,Espacio Raro
306,aggron,,Aggron,Aggron,,,steel,rock,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
308,medicham,,Medicham,Medicham,,,fighting,psychic,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
310,manectric,,Manectric,Manectric,,,electric,,B,"Pivot, Speed Control","Pivot, Control de Velocidad",Offense,Ofensiva
319,sharpedo,,Sharpedo,Sharpedo,,,water,dark,D,"Speed Control, Wallbreaker","Control de Velocidad, Muroperforador",Offense,Ofensiva
323,camerupt,,Camerupt,Camerupt,,,fire,ground,B,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
324,torkoal,,Torkoal,Torkoal,,,fire,,A,"Bulky Support, Weather Setter","Soporte Resistente, Setter de Clima","Sun, Trick Room","Sol, Espacio Raro"
334,altaria,,Altaria,Altaria,,,dragon,flying,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Tailwind,Viento Afn
350,milotic,,Milotic,Milotic,,,water,,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Sand,Arena
351,castform,,Castform,Castform,,,normal,,D,Speed Control,Control de Velocidad,Balance,Balance
354,banette,,Banette,Banette,,,ghost,,D,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
358,chimecho,,Chimecho,Chimecho,,,psychic,,C,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
359,absol,,Absol,Absol,,,dark,,C,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Balance,Balance
362,glalie,,Glalie,Glalie,,,ice,,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
389,torterra,,Torterra,Torterra,,,grass,ground,B,Bulky Support,Soporte Resistente,Balance,Balance
392,infernape,,Infernape,Infernape,,,fire,fighting,C,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
395,empoleon,,Empoleon,Empoleon,,,water,steel,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
405,luxray,,Luxray,Luxray,,,electric,,C,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Balance,Balance
407,roserade,,Roserade,Roserade,,,grass,poison,B,Wallbreaker,Muroperforador,Balance,Balance
409,rampardos,,Rampardos,Rampardos,,,rock,,D,Wallbreaker,Muroperforador,Balance,Balance
411,bastiodon,,Bastiodon,Bastiodon,,,rock,steel,C,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
428,lopunny,,Lopunny,Lopunny,,,normal,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
442,spiritomb,,Spiritomb,Spiritomb,,,ghost,dark,C,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
445,garchomp,,Garchomp,Garchomp,,,dragon,ground,S,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Sand,Arena
448,lucario,,Lucario,Lucario,,,fighting,steel,A,Bulky Support,Soporte Resistente,Balance,Balance
450,hippowdon,,Hippowdon,Hippowdon,,,ground,,C,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
454,toxicroak,,Toxicroak,Toxicroak,,,poison,fighting,D,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
460,abomasnow,,Abomasnow,Abomasnow,,,grass,ice,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
461,weavile,,Weavile,Weavile,,,dark,ice,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Offense,Ofensiva
464,rhyperior,,Rhyperior,Rhyperior,,,ground,rock,B,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
470,leafeon,,Leafeon,Leafeon,,,grass,,B,Bulky Support,Soporte Resistente,Sun,Sol
471,glaceon,,Glaceon,Glaceon,,,ice,,B,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Balance,Balance
472,gliscor,,Gliscor,Gliscor,,,ground,flying,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Tailwind,Viento Afn
473,mamoswine,,Mamoswine,Mamoswine,,,ice,ground,B,"Speed Control, Wallbreaker","Control de Velocidad, Muroperforador",Balance,Balance
475,gallade,,Gallade,Gallade,,,psychic,fighting,B,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
478,froslass,,Froslass,Froslass,,,ice,ghost,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Offense,Ofensiva
479,rotom,,Rotom,Rotom,,,electric,ghost,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Balance,Balance
497,serperior,,Serperior,Serperior,,,grass,,C,Bulky Support,Soporte Resistente,Offense,Ofensiva
500,emboar,,Emboar,Emboar,,,fire,fighting,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
503,samurott,,Samurott,Samurott,,,water,,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
505,watchog,,Watchog,Watchog,,,normal,,D,Speed Control,Control de Velocidad,Balance,Balance
510,liepard,,Liepard,Liepard,,,dark,,D,"Pivot, Speed Control","Pivot, Control de Velocidad",Offense,Ofensiva
512,simisage,,Simisage,Simisage,,,grass,,C,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
514,simisear,,Simisear,Simisear,,,fire,,C,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
516,simipour,,Simipour,Simipour,,,water,,D,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
530,excadrill,,Excadrill,Excadrill,,,ground,steel,A,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador","Hyper Offense, Sand","Hiperofensiva, Arena"
531,audino,,Audino,Audino,,,normal,,C,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
534,conkeldurr,,Conkeldurr,Conkeldurr,,,fighting,,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Trick Room,Espacio Raro
547,whimsicott,,Whimsicott,Whimsicott,,,grass,fairy,A,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro","Rain, Sun, Tailwind, Trick Room","Lluvia, Sol, Viento Afn, Espacio Raro"
553,krookodile,,Krookodile,Krookodile,,,ground,dark,B,"Bulky Support, Pivot","Soporte Resistente, Pivot",Balance,Balance
563,cofagrigus,,Cofagrigus,Cofagrigus,,,ghost,,B,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
569,garbodor,,Garbodor,Garbodor,,,poison,,B,Bulky Support,Soporte Resistente,Balance,Balance
571,zoroark,,Zoroark,Zoroark,,,dark,,B,"Bulky Support, Pivot, Wallbreaker","Soporte Resistente, Pivot, Muroperforador",Offense,Ofensiva
579,reuniclus,,Reuniclus,Reuniclus,,,psychic,,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
584,vanilluxe,,Vanilluxe,Vanilluxe,,,ice,,B,Speed Control,Control de Velocidad,Balance,Balance
587,emolga,,Emolga,Emolga,,,electric,flying,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
609,chandelure,,Chandelure,Chandelure,,,ghost,fire,B,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
614,beartic,,Beartic,Beartic,,,ice,,C,"Speed Control, Wallbreaker","Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
618,stunfisk,,Stunfisk,Stunfisk,,,ground,electric,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
623,golurk,,Golurk,Golurk,,,ground,ghost,B,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
635,hydreigon,,Hydreigon,Hydreigon,,,dark,dragon,A,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Tailwind,Viento Afn
637,volcarona,,Volcarona,Volcarona,,,bug,fire,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Tailwind,Viento Afn
652,chesnaught,,Chesnaught,Chesnaught,,,grass,fighting,B,Bulky Support,Soporte Resistente,Balance,Balance
655,delphox,,Delphox,Delphox,,,fire,psychic,A,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
658,greninja,,Greninja,Greninja,,,water,dark,A,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Sand,Arena
660,diggersby,,Diggersby,Diggersby,,,normal,ground,B,Pivot,Pivot,Balance,Balance
663,talonflame,,Talonflame,Talonflame,,,fire,flying,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Tailwind,Viento Afn
666,vivillon,,Vivillon,Vivillon,,,bug,flying,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Tailwind,Viento Afn
670,floette,,Floette,Floette,,,fairy,,S,Bulky Support,Soporte Resistente,"Hyper Offense, Trick Room","Hiperofensiva, Espacio Raro"
671,florges,,Florges,Florges,,,fairy,,B,Bulky Support,Soporte Resistente,Balance,Balance
675,pangoro,,Pangoro,Pangoro,,,fighting,dark,B,"Bulky Support, Pivot, Wallbreaker","Soporte Resistente, Pivot, Muroperforador",Balance,Balance
676,furfrou,,Furfrou,Furfrou,,,normal,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
678,meowstic,meowstic-m,Meowstic,Meowstic,Meowstic-M,Meowstic-M,psychic,,A,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
681,aegislash,,Aegislash,Aegislash,,,steel,ghost,B,Bulky Support,Soporte Resistente,Balance,Balance
683,aromatisse,,Aromatisse,Aromatisse,,,fairy,,C,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
685,slurpuff,,Slurpuff,Slurpuff,,,fairy,,B,Bulky Support,Soporte Resistente,Balance,Balance
693,clawitzer,,Clawitzer,Clawitzer,,,water,,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Balance,Balance
695,heliolisk,,Heliolisk,Heliolisk,,,electric,normal,D,"Pivot, Speed Control","Pivot, Control de Velocidad",Offense,Ofensiva
697,tyrantrum,,Tyrantrum,Tyrantrum,,,rock,dragon,C,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
699,aurorus,,Aurorus,Aurorus,,,rock,ice,D,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Balance,Balance
700,sylveon,,Sylveon,Sylveon,,,fairy,,B,Bulky Support,Soporte Resistente,Balance,Balance
701,hawlucha,,Hawlucha,Hawlucha,,,fighting,flying,B,"Bulky Support, Pivot","Soporte Resistente, Pivot",Offense,Ofensiva
702,dedenne,,Dedenne,Dedenne,,,electric,fairy,D,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
706,goodra,,Goodra,Goodra,,,dragon,,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
707,klefki,,Klefki,Klefki,,,steel,fairy,B,"Speed Control, Trick Room Setter","Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
709,trevenant,,Trevenant,Trevenant,,,ghost,grass,D,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
711,gourgeist,,Gourgeist,Gourgeist,,,ghost,grass,B,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
713,avalugg,,Avalugg,Avalugg,,,ice,,C,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
715,noivern,,Noivern,Noivern,,,flying,dragon,B,"Pivot, Speed Control","Pivot, Control de Velocidad",Tailwind,Viento Afn
724,decidueye,,Decidueye,Decidueye,,,grass,ghost,C,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Tailwind,Viento Afn
727,incineroar,,Incineroar,Incineroar,,,fire,dark,S,"Bulky Support, Pivot","Soporte Resistente, Pivot","Hyper Offense, Rain, Sand, Trick Room","Hiperofensiva, Lluvia, Arena, Espacio Raro"
730,primarina,,Primarina,Primarina,,,water,fairy,A,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Balance,Balance
733,toucannon,,Toucannon,Toucannon,,,normal,flying,C,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Tailwind,Viento Afn
740,crabominable,,Crabominable,Crabominable,,,fighting,ice,B,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
745,lycanroc,,Lycanroc,Lycanroc,,,rock,,B,Bulky Support,Soporte Resistente,Offense,Ofensiva
748,toxapex,,Toxapex,Toxapex,,,poison,water,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Trick Room,Espacio Raro
750,mudsdale,,Mudsdale,Mudsdale,,,ground,,C,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Trick Room,Espacio Raro
752,araquanid,,Araquanid,Araquanid,,,water,bug,B,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Trick Room,Espacio Raro
758,salazzle,,Salazzle,Salazzle,,,poison,fire,D,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
763,tsareena,,Tsareena,Tsareena,,,grass,,A,"Bulky Support, Pivot, Wallbreaker","Soporte Resistente, Pivot, Muroperforador",Balance,Balance
765,oranguru,,Oranguru,Oranguru,,,normal,psychic,B,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
766,passimian,,Passimian,Passimian,,,fighting,,C,"Pivot, Speed Control, Wallbreaker","Pivot, Control de Velocidad, Muroperforador",Balance,Balance
778,mimikyu,,Mimikyu,Mimikyu,,,ghost,fairy,B,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
780,drampa,,Drampa,Drampa,,,normal,dragon,B,"Bulky Support, Speed Control, Wallbreaker","Soporte Resistente, Control de Velocidad, Muroperforador",Trick Room,Espacio Raro
784,kommo-o,,Kommo-o,Kommo-o,,,dragon,fighting,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
823,corviknight,,Corviknight,Corviknight,,,flying,steel,A,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad","Sand, Tailwind","Arena, Viento Afn"
841,flapple,,Flapple,Flapple,,,grass,dragon,D,Pivot,Pivot,Balance,Balance
842,appletun,,Appletun,Appletun,,,grass,dragon,C,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
844,sandaconda,,Sandaconda,Sandaconda,,,ground,,D,Bulky Support,Soporte Resistente,Balance,Balance
855,polteageist,,Polteageist,Polteageist,,,ghost,,C,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
858,hatterene,,Hatterene,Hatterene,,,psychic,fairy,A,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
866,mr-rime,,Mr. Rime,Mr. Rime,,,ice,psychic,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
867,runerigus,,Runerigus,Runerigus,,,ground,ghost,D,"Bulky Support, Speed Control, Trick Room Setter","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
869,alcremie,,Alcremie,Alcremie,,,fairy,,C,Bulky Support,Soporte Resistente,Balance,Balance
877,morpeko,,Morpeko,Morpeko,,,electric,dark,B,"Pivot, Speed Control","Pivot, Control de Velocidad",Offense,Ofensiva
887,dragapult,,Dragapult,Dragapult,,,dragon,ghost,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Rain,Lluvia
899,wyrdeer,,Wyrdeer,Wyrdeer,,,normal,psychic,C,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
900,kleavor,,Kleavor,Kleavor,,,bug,rock,S,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Tailwind,Viento Afn
902,basculegion,basculegion-m,Basculegion,Basculegion,Basculegion-M,Basculegion-M,water,ghost,A,"Bulky Support, Speed Control","Soporte Resistente, Control de Velocidad",Rain,Lluvia
903,sneasler,,Sneasler,Sneasler,,,fighting,poison,S,"Pivot, Wallbreaker","Pivot, Muroperforador",Hyper Offense,Hiperofensiva
908,meowscarada,,Meowscarada,Meowscarada,,,grass,dark,B,"Bulky Support, Pivot, Speed Control, Trick Room Setter","Soporte Resistente, Pivot, Control de Velocidad, Setter de Espacio Raro",Trick Room,Espacio Raro
911,skeledirge,,Skeledirge,Skeledirge,,,fire,ghost,B,Bulky Support,Soporte Resistente,Balance,Balance
914,quaquaval,,Quaquaval,Quaquaval,,,water,fighting,B,"Bulky Support, Pivot, Speed Control, Wallbreaker","Soporte Resistente, Pivot, Control de Velocidad, Muroperforador",Balance,Balance
925,maushold,,Maushold,Maushold,,,normal,,A,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Offense,Ofensiva
934,garganacl,,Garganacl,Garganacl,,,rock,,B,Bulky Support,Soporte Resistente,Trick Room,Espacio Raro
936,armarouge,,Armarouge,Armarouge,,,fire,psychic,A,"Bulky Support, Speed Control, Trick Room Setter, Wallbreaker","Soporte Resistente, Control de Velocidad, Setter de Espacio Raro, Muroperforador",Trick Room,Espacio Raro
937,ceruledge,,Ceruledge,Ceruledge,,,fire,ghost,B,"Bulky Support, Wallbreaker","Soporte Resistente, Muroperforador",Balance,Balance
939,bellibolt,,Bellibolt,Bellibolt,,,electric,,B,"Bulky Support, Pivot, Speed Control","Soporte Resistente, Pivot, Control de Velocidad",Trick Room,Espacio Raro
