pokemon_id,role_key,name_en,name_es,description_en,description_es,confidence,season_key,format,curation_source_key,notes
121,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
121,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
127,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
127,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
128,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
128,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
128,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
130,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
130,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
130,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
130,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
132,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Fallback derived role for full table coverage.
134,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
134,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
135,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
135,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
135,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
136,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
136,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
142,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
143,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
143,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
149,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
149,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
149,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
154,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
157,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,low,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
160,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
160,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
168,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
168,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
181,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
181,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
181,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
184,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
184,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
186,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
186,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
186,weather_setter,Weather Setter,Setter de Clima,Sets weather that defines the game plan.,Activa el clima que define el plan de partida.,high,season_m1_reg_ma,doubles,manual_curation,Directly derived from weather-setting ability.
196,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
196,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
196,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
196,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
197,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
197,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
199,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
199,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from utility move or pivot ability access.
199,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
199,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
205,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
205,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
205,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
208,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
212,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
212,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
212,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
212,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
214,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
214,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
227,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
227,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
229,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
248,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
248,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
248,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
279,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
279,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
279,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
279,weather_setter,Weather Setter,Setter de Clima,Sets weather that defines the game plan.,Activa el clima que define el plan de partida.,high,season_m1_reg_ma,doubles,manual_curation,Directly derived from weather-setting ability.
282,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
282,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
282,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
282,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
302,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
302,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
302,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
306,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
306,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
308,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
308,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
308,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
308,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
310,pivot,Pivot,Pivot,Creates positioning or tempo through switching and utility.,Genera posicin o tempo mediante cambios y utilidad.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
310,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
319,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
319,wallbreaker,Wallbreaker,Muroperforador,Breaks through bulky cores using strong offensive pressure.,Rompe ncleos defensivos con presin ofensiva alta.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from offensive stats and current roster context.
323,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
324,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
324,weather_setter,Weather Setter,Setter de Clima,Sets weather that defines the game plan.,Activa el clima que define el plan de partida.,high,season_m1_reg_ma,doubles,manual_curation,Directly derived from weather-setting ability.
334,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
334,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
350,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
350,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
351,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
354,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
354,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
354,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
358,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
358,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
358,trick_room_setter,Trick Room Setter,Setter de Espacio Raro,Can reliably set Trick Room.,Puede activar Espacio Raro de forma fiable.,high,season_m1_reg_ma,doubles,manual_curation,Derived from observed Champions sets.
359,bulky_support,Bulky Support,Soporte Resistente,Supports allies while maintaining defensive presence.,Apoya al equipo manteniendo presencia defensiva.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from bulk profile and support move access.
359,speed_control,Speed Control,Control de Velocidad,Provides proactive or reverse speed control.,Aporta control de velocidad directo o inverso.,medium,season_m1_reg_ma,doubles,manual_curation,Derived from current Champions move pool access.
