move_key,name_en,name_es,confirmed_user_count,inferred_user_count,move_pool_user_count,observed_set_user_count,observed_set_coverage_pct,users
amnesia,Amnesia,Amnesia,26,0,26,1,3.8,"Venusaur,Clefable,Slowbro,Snorlax,Azumarill,Politoed,Slowking,Camerupt,Torkoal,Castform,Torterra,Hippowdon,Mamoswine,Simisear,Audino,Garbodor,Volcarona,Slurpuff,Primarina,Crabominable,Drampa,Appletun,Runerigus,Farigiraf,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
ancient_power,Ancient Power,Poder Pasado,20,0,20,3,15.0,"Charizard,Starmie,Aerodactyl,Meganium,Feraligatr,Steelix,Tyranitar,Aggron,Sharpedo,Camerupt,Torkoal,Rampardos,Bastiodon,Mamoswine,Garbodor,Tyrantrum,Aurorus,Kleavor,Glimmora,Goodra (Hisuian Goodra)"
apple_acid,Apple Acid,Ácido Málico,1,0,1,1,100.0,Appletun
aqua_cutter,Aqua Cutter,Aqua Cutter,4,0,4,0,0.0,"Gallade,Samurott,Quaquaval,Samurott (Hisuian Samurott)"
aqua_jet,Aqua Jet,Acua Jet,17,0,17,5,29.4,"Blastoise,Starmie,Dragonite,Feraligatr,Azumarill,Sharpedo,Empoleon,Samurott,Beartic,Clawitzer,Primarina,Basculegion (Basculegion-M),Quaquaval,Palafin,Samurott (Hisuian Samurott),Tauros (Paldean Tauros (Aqua)),Basculegion (Basculegion-F)"
aqua_ring,Aqua Ring,Acua Aro,9,0,9,0,0.0,"Blastoise,Vaporeon,Azumarill,Pelipper,Milotic,Empoleon,Simipour,Primarina,Araquanid"
aqua_step,Aqua Step,Aqua Step,1,0,1,1,100.0,Quaquaval
aqua_tail,Aqua Tail,Acua Cola,12,0,12,0,0.0,"Blastoise,Gyarados,Dragonite,Feraligatr,Azumarill,Milotic,Samurott,Krookodile,Clawitzer,Goodra,Palafin,Samurott (Hisuian Samurott)"
armor_cannon,Armor Cannon,Armor Cannon,1,0,1,1,100.0,Armarouge
aromatherapy,Aromatherapy,Aromaterapia,1,0,1,0,0.0,Tsareena
aromatic_mist,Aromatic Mist,Niebla Aromática,5,0,5,0,0.0,"Aromatisse,Tsareena,Polteageist,Hatterene,Alcremie"
assurance,Assurance,Buena Baza,41,0,41,0,0.0,"Beedrill,Machamp,Kangaskhan,Tauros,Aerodactyl,Ariados,Umbreon,Scizor,Heracross,Skarmory,Tyranitar,Sharpedo,Absol,Rampardos,Lopunny,Toxicroak,Weavile,Gliscor,Emboar,Samurott,Liepard,Krookodile,Zoroark,Beartic,Hydreigon,Tyrantrum,Hawlucha,Goodra,Incineroar,Lycanroc,Passimian,Corviknight,Morpeko,Dragapult,Farigiraf,Kingambit,Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
attract,Attract,Atracción,62,0,62,0,0.0,"Beedrill,Pidgeot,Ninetales,Alakazam,Machamp,Kangaskhan,Pinsir,Aerodactyl,Snorlax,Politoed,Steelix,Aggron,Manectric,Sharpedo,Milotic,Castform,Absol,Torterra,Infernape,Empoleon,Roserade,Rampardos,Bastiodon,Lopunny,Gliscor,Mamoswine,Serperior,Liepard,Simisage,Simisear,Simipour,Audino,Conkeldurr,Whimsicott,Cofagrigus,Garbodor,Reuniclus,Vanilluxe,Emolga,Stunfisk,Diggersby,Pangoro,Furfrou,Aegislash,Aromatisse,Slurpuff,Heliolisk,Tyrantrum,Aurorus,Gourgeist,Incineroar,Primarina,Toucannon,Araquanid,Tsareena,Drampa,Kommo-o,Mr. Rime,Runerigus,Alcremie,Ninetales (Alolan Ninetales),Stunfisk (Galarian Stunfisk)"
aura_sphere,Aura Sphere,Esfera Aural,14,0,14,3,21.4,"Blastoise,Gardevoir,Medicham,Infernape,Lopunny,Lucario,Gallade,Clawitzer,Kommo-o,Meowscarada,Armarouge,Palafin,Archaludon,Decidueye (Hisuian Decidueye)"
aura_wheel,Aura Wheel,Rueda Aural,1,0,1,1,100.0,Morpeko
aurora_veil,Aurora Veil,Velo Aurora,6,0,6,5,83.3,"Abomasnow,Froslass,Vanilluxe,Aurorus,Avalugg,Ninetales (Alolan Ninetales)"
avalanche,Avalanche,Alud,34,0,34,1,2.9,"Blastoise,Slowbro,Kangaskhan,Starmie,Gyarados,Feraligatr,Slowking,Tyranitar,Aggron,Sharpedo,Milotic,Castform,Glalie,Empoleon,Rampardos,Bastiodon,Abomasnow,Weavile,Rhyperior,Glaceon,Mamoswine,Froslass,Samurott,Vanilluxe,Beartic,Aurorus,Avalugg,Crabominable,Mr. Rime,Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Avalugg (Hisuian Avalugg)"
axe_kick,Axe Kick,Axe Kick,1,0,1,0,0.0,Medicham
baby_doll_eyes,Baby-Doll Eyes,Ojitos Tiernos,20,0,20,0,0.0,"Ninetales,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Luxray,Lopunny,Leafeon,Glaceon,Audino,Furfrou,Sylveon,Primarina,Mimikyu,Alcremie,Maushold,Espathra,Tinkaton,Ninetales (Alolan Ninetales)"
baneful_bunker,Baneful Bunker,Búnker,1,0,1,1,100.0,Toxapex
baton_pass,Baton Pass,Relevo,42,0,42,1,2.4,"Beedrill,Clefable,Ninetales,Vaporeon,Jolteon,Flareon,Ariados,Espeon,Umbreon,Scizor,Medicham,Chimecho,Absol,Lopunny,Toxicroak,Weavile,Leafeon,Glaceon,Gliscor,Liepard,Emolga,Floette,Florges,Meowstic (Meowstic-M),Sylveon,Hawlucha,Decidueye,Incineroar,Passimian,Polteageist,Hatterene,Mr. Rime,Morpeko,Dragapult,Kleavor,Quaquaval,Maushold,Espathra,Farigiraf,Ninetales (Alolan Ninetales),Decidueye (Hisuian Decidueye),Meowstic (Meowstic-F)"
beak_blast,Beak Blast,Pico Cañón,1,0,1,1,100.0,Toucannon
beat_up,Beat Up,Paliza,16,0,16,1,6.3,"Charizard,Arbok,Kangaskhan,Houndoom,Weavile,Whimsicott,Krookodile,Vanilluxe,Hydreigon,Pangoro,Salazzle,Passimian,Mimikyu,Dragapult,Maushold,Farigiraf"
belch,Belch,Eructo,15,0,15,0,0.0,"Arbok,Slowbro,Snorlax,Slowking,Toxicroak,Simisage,Simisear,Simipour,Garbodor,Hydreigon,Salazzle,Sandaconda,Skeledirge,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
belly_drum,Belly Drum,Tambor,10,0,10,2,20.0,"Charizard,Slowbro,Snorlax,Azumarill,Politoed,Slowking,Chesnaught,Kommo-o,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
bind,Bind,Atadura,3,0,3,0,0.0,"Pinsir,Steelix,Stunfisk (Galarian Stunfisk)"
bite,Bite,Mordisco,57,0,57,1,1.8,"Charizard,Blastoise,Arbok,Arcanine,Kangaskhan,Gyarados,Vaporeon,Jolteon,Flareon,Aerodactyl,Snorlax,Feraligatr,Espeon,Umbreon,Houndoom,Tyranitar,Manectric,Sharpedo,Absol,Glalie,Torterra,Luxray,Garchomp,Lucario,Hippowdon,Weavile,Leafeon,Glaceon,Mamoswine,Froslass,Watchog,Liepard,Simisage,Simisear,Simipour,Krookodile,Hydreigon,Chesnaught,Furfrou,Tyrantrum,Sylveon,Avalugg,Noivern,Incineroar,Lycanroc,Toxapex,Araquanid,Morpeko,Dragapult,Wyrdeer,Basculegion (Basculegion-M),Meowscarada,Skeledirge,Maushold,Scovillain,Arcanine (Hisuian Arcanine),Basculegion (Basculegion-F)"
bitter_blade,Bitter Blade,Bitter Blade,1,0,1,1,100.0,Ceruledge
bitter_malice,Bitter Malice,Bitter Malice,1,0,1,0,0.0,Zoroark (Hisuian Zoroark)
blast_burn,Blast Burn,Anillo Ígneo,8,0,8,0,0.0,"Charizard,Typhlosion,Infernape,Emboar,Delphox,Incineroar,Skeledirge,Typhlosion (Hisuian Typhlosion)"
blaze_kick,Blaze Kick,Patada Ígnea,6,0,6,0,0.0,"Medicham,Infernape,Lucario,Simisear,Talonflame,Incineroar"
blizzard,Blizzard,Ventisca,58,0,58,6,10.3,"Blastoise,Clefable,Slowbro,Kangaskhan,Starmie,Tauros,Gyarados,Vaporeon,Snorlax,Dragonite,Feraligatr,Azumarill,Politoed,Slowking,Tyranitar,Pelipper,Aggron,Sharpedo,Milotic,Castform,Absol,Glalie,Empoleon,Rampardos,Bastiodon,Lopunny,Abomasnow,Weavile,Rhyperior,Glaceon,Mamoswine,Froslass,Samurott,Simipour,Audino,Vanilluxe,Beartic,Greninja,Clawitzer,Aurorus,Goodra,Avalugg,Primarina,Crabominable,Toxapex,Araquanid,Drampa,Mr. Rime,Basculegion (Basculegion-M),Palafin,Rotom (Frost Rotom),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Basculegion (Basculegion-F)"
block,Block,Bloqueo,13,0,13,0,0.0,"Slowbro,Snorlax,Feraligatr,Slowking,Steelix,Glalie,Bastiodon,Froslass,Aegislash,Mr. Rime,Garganacl,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking)"
body_press,Body Press,Plancha Corporal,43,0,43,16,37.2,"Blastoise,Slowbro,Snorlax,Dragonite,Meganium,Forretress,Steelix,Skarmory,Tyranitar,Aggron,Camerupt,Torkoal,Torterra,Rampardos,Bastiodon,Hippowdon,Abomasnow,Rhyperior,Mamoswine,Emboar,Cofagrigus,Garbodor,Beartic,Golurk,Chesnaught,Hawlucha,Goodra,Avalugg,Crabominable,Mudsdale,Kommo-o,Corviknight,Appletun,Sandaconda,Runerigus,Garganacl,Orthworm,Hydrapple,Slowbro (Galarian Slowbro),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
body_slam,Body Slam,Golpe Cuerpo,133,0,133,9,6.8,"Venusaur,Charizard,Blastoise,Arbok,Pikachu,Raichu,Clefable,Ninetales,Arcanine,Alakazam,Machamp,Victreebel,Slowbro,Gengar,Kangaskhan,Pinsir,Tauros,Gyarados,Vaporeon,Jolteon,Flareon,Snorlax,Dragonite,Meganium,Typhlosion,Feraligatr,Ariados,Ampharos,Azumarill,Politoed,Espeon,Umbreon,Slowking,Forretress,Steelix,Heracross,Houndoom,Tyranitar,Pelipper,Gardevoir,Sableye,Aggron,Medicham,Manectric,Camerupt,Torkoal,Altaria,Milotic,Castform,Absol,Glalie,Torterra,Infernape,Empoleon,Luxray,Roserade,Rampardos,Bastiodon,Spiritomb,Garchomp,Lucario,Hippowdon,Abomasnow,Rhyperior,Leafeon,Glaceon,Mamoswine,Gallade,Froslass,Serperior,Emboar,Samurott,Excadrill,Audino,Conkeldurr,Krookodile,Garbodor,Zoroark,Reuniclus,Beartic,Golurk,Hydreigon,Volcarona,Chesnaught,Diggersby,Pangoro,Clawitzer,Tyrantrum,Aurorus,Sylveon,Hawlucha,Goodra,Avalugg,Noivern,Incineroar,Primarina,Crabominable,Lycanroc,Toxapex,Mudsdale,Araquanid,Salazzle,Oranguru,Passimian,Drampa,Kommo-o,Corviknight,Appletun,Sandaconda,Mr. Rime,Dragapult,Wyrdeer,Skeledirge,Garganacl,Espathra,Palafin,Orthworm,Farigiraf,Archaludon,Hydrapple,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bone_rush,Bone Rush,Ataque Óseo,1,0,1,0,0.0,Lucario
boomburst,Boomburst,Estruendo,5,0,5,0,0.0,"Chimecho,Noivern,Toucannon,Kommo-o,Palafin"
bounce,Bounce,Bote,19,0,19,0,0.0,"Clefable,Gyarados,Ariados,Azumarill,Politoed,Sharpedo,Absol,Lopunny,Toxicroak,Zoroark,Stunfisk,Greninja,Diggersby,Clawitzer,Hawlucha,Tsareena,Palafin,Stunfisk (Galarian Stunfisk),Zoroark (Hisuian Zoroark)"
brave_bird,Brave Bird,Pájaro Osado,11,0,11,8,72.7,"Pidgeot,Skarmory,Altaria,Talonflame,Hawlucha,Decidueye,Toucannon,Corviknight,Quaquaval,Espathra,Decidueye (Hisuian Decidueye)"
breaking_swipe,Breaking Swipe,Vasto Impacto,27,0,27,1,3.7,"Charizard,Arbok,Dragonite,Feraligatr,Ampharos,Steelix,Tyranitar,Altaria,Milotic,Rampardos,Garchomp,Rhyperior,Gliscor,Serperior,Krookodile,Hydreigon,Heliolisk,Tyrantrum,Goodra,Noivern,Salazzle,Drampa,Kommo-o,Dragapult,Archaludon,Hydrapple,Goodra (Hisuian Goodra)"
brick_break,Brick Break,Demolición,80,0,80,1,1.3,"Charizard,Blastoise,Beedrill,Pikachu,Raichu,Clefable,Machamp,Slowbro,Gengar,Kangaskhan,Pinsir,Snorlax,Dragonite,Typhlosion,Feraligatr,Ampharos,Azumarill,Politoed,Slowking,Scizor,Heracross,Tyranitar,Sableye,Aggron,Medicham,Infernape,Empoleon,Rampardos,Garchomp,Lucario,Toxicroak,Abomasnow,Weavile,Rhyperior,Gliscor,Gallade,Emboar,Samurott,Simisage,Simisear,Simipour,Excadrill,Conkeldurr,Krookodile,Zoroark,Beartic,Golurk,Chesnaught,Greninja,Diggersby,Pangoro,Aegislash,Tyrantrum,Hawlucha,Noivern,Incineroar,Toucannon,Crabominable,Lycanroc,Oranguru,Passimian,Kommo-o,Mr. Rime,Morpeko,Kleavor,Sneasler,Meowscarada,Quaquaval,Garganacl,Ceruledge,Tinkaton,Kingambit,Archaludon,Raichu (Alolan Raichu),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Zoroark (Hisuian Zoroark),Decidueye (Hisuian Decidueye)"
brutal_swing,Brutal Swing,Giro Vil,47,0,47,0,0.0,"Charizard,Beedrill,Arbok,Raichu,Machamp,Pinsir,Gyarados,Aerodactyl,Dragonite,Feraligatr,Ampharos,Azumarill,Steelix,Scizor,Heracross,Tyranitar,Aggron,Manectric,Milotic,Absol,Lopunny,Garchomp,Rhyperior,Gliscor,Serperior,Excadrill,Conkeldurr,Krookodile,Hydreigon,Greninja,Diggersby,Pangoro,Aegislash,Heliolisk,Tyrantrum,Goodra,Trevenant,Gourgeist,Incineroar,Crabominable,Passimian,Kommo-o,Sandaconda,Hatterene,Runerigus,Kleavor,Tinkaton"
bug_bite,Bug Bite,Picadura,12,0,12,1,8.3,"Beedrill,Victreebel,Pinsir,Ariados,Forretress,Scizor,Heracross,Volcarona,Vivillon,Araquanid,Kleavor,Hydrapple"
bug_buzz,Bug Buzz,Zumbido,9,0,9,2,22.2,"Beedrill,Ariados,Forretress,Scizor,Heracross,Volcarona,Vivillon,Araquanid,Kleavor"
bulk_up,Bulk Up,Corpulencia,34,0,34,4,11.8,"Machamp,Starmie,Pinsir,Heracross,Sableye,Medicham,Infernape,Lucario,Toxicroak,Gallade,Emboar,Conkeldurr,Krookodile,Beartic,Chesnaught,Diggersby,Talonflame,Pangoro,Hawlucha,Incineroar,Crabominable,Lycanroc,Passimian,Mimikyu,Kommo-o,Corviknight,Sneasler,Quaquaval,Ceruledge,Palafin,Decidueye (Hisuian Decidueye),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bulldoze,Bulldoze,Terratemblor,91,0,91,0,0.0,"Venusaur,Charizard,Blastoise,Arbok,Arcanine,Machamp,Slowbro,Kangaskhan,Pinsir,Tauros,Gyarados,Aerodactyl,Snorlax,Dragonite,Meganium,Typhlosion,Feraligatr,Ampharos,Azumarill,Politoed,Slowking,Forretress,Steelix,Heracross,Tyranitar,Aggron,Sharpedo,Camerupt,Torkoal,Altaria,Milotic,Glalie,Torterra,Infernape,Empoleon,Rampardos,Bastiodon,Garchomp,Lucario,Hippowdon,Toxicroak,Abomasnow,Rhyperior,Gliscor,Mamoswine,Gallade,Emboar,Samurott,Excadrill,Conkeldurr,Krookodile,Beartic,Stunfisk,Golurk,Hydreigon,Chesnaught,Diggersby,Pangoro,Heliolisk,Tyrantrum,Aurorus,Goodra,Trevenant,Avalugg,Incineroar,Crabominable,Lycanroc,Mudsdale,Oranguru,Passimian,Drampa,Kommo-o,Appletun,Sandaconda,Runerigus,Wyrdeer,Garganacl,Tinkaton,Orthworm,Farigiraf,Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Stunfisk (Galarian Stunfisk),Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Avalugg (Hisuian Avalugg),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
bullet_punch,Bullet Punch,Puño Bala,6,0,6,5,83.3,"Machamp,Scizor,Medicham,Lucario,Toxicroak,Pangoro"
bullet_seed,Bullet Seed,Semilladora,24,0,24,1,4.2,"Venusaur,Victreebel,Meganium,Heracross,Torterra,Roserade,Abomasnow,Leafeon,Serperior,Watchog,Simisage,Chesnaught,Gourgeist,Decidueye,Toucannon,Tsareena,Flapple,Appletun,Morpeko,Meowscarada,Maushold,Scovillain,Hydrapple,Decidueye (Hisuian Decidueye)"
burn_up,Burn Up,Llama Final,8,0,8,0,0.0,"Arcanine,Typhlosion,Emboar,Skeledirge,Armarouge,Ceruledge,Arcanine (Hisuian Arcanine),Typhlosion (Hisuian Typhlosion)"
burning_jealousy,Burning Jealousy,Envidia Ardiente,21,0,21,0,0.0,"Ninetales,Flareon,Typhlosion,Houndoom,Camerupt,Torkoal,Banette,Infernape,Spiritomb,Liepard,Simisear,Zoroark,Chandelure,Delphox,Trevenant,Incineroar,Salazzle,Mimikyu,Scovillain,Typhlosion (Hisuian Typhlosion),Zoroark (Hisuian Zoroark)"
calm_mind,Calm Mind,Paz Mental,62,0,62,15,24.2,"Clefable,Ninetales,Alakazam,Slowbro,Vaporeon,Jolteon,Flareon,Espeon,Umbreon,Slowking,Gardevoir,Sableye,Medicham,Banette,Chimecho,Absol,Infernape,Spiritomb,Lucario,Weavile,Leafeon,Glaceon,Gallade,Serperior,Audino,Cofagrigus,Zoroark,Reuniclus,Chandelure,Volcarona,Delphox,Vivillon,Floette,Florges,Meowstic (Meowstic-M),Aromatisse,Slurpuff,Aurorus,Sylveon,Klefki,Trevenant,Primarina,Oranguru,Drampa,Polteageist,Hatterene,Mr. Rime,Runerigus,Alcremie,Wyrdeer,Sneasler,Armarouge,Espathra,Farigiraf,Sinistcha,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Typhlosion (Hisuian Typhlosion),Zoroark (Hisuian Zoroark),Meowstic (Meowstic-F)"
captivate,Captivate,Seducción,1,0,1,0,0.0,Tsareena
ceaseless_edge,Ceaseless Edge,Ceaseless Edge,1,0,1,1,100.0,Samurott (Hisuian Samurott)
charge,Charge,Carga,19,0,19,1,5.3,"Pikachu,Raichu,Jolteon,Ampharos,Manectric,Luxray,Rotom,Emolga,Stunfisk,Heliolisk,Dedenne,Morpeko,Bellibolt,Rotom (Heat Rotom),Rotom (Wash Rotom),Rotom (Frost Rotom),Rotom (Fan Rotom),Rotom (Mow Rotom),Raichu (Alolan Raichu)"
charge_beam,Charge Beam,Rayo Carga,30,0,30,1,3.3,"Pikachu,Raichu,Clefable,Starmie,Jolteon,Ampharos,Gardevoir,Manectric,Banette,Chimecho,Luxray,Gallade,Rotom,Emolga,Golurk,Meowstic (Meowstic-M),Heliolisk,Dedenne,Oranguru,Morpeko,Wyrdeer,Bellibolt,Farigiraf,Rotom (Heat Rotom),Rotom (Wash Rotom),Rotom (Frost Rotom),Rotom (Fan Rotom),Rotom (Mow Rotom),Raichu (Alolan Raichu),Meowstic (Meowstic-F)"
charm,Charm,Encanto,54,0,54,3,5.6,"Venusaur,Pikachu,Raichu,Clefable,Ninetales,Arcanine,Vaporeon,Jolteon,Flareon,Snorlax,Meganium,Azumarill,Espeon,Umbreon,Gardevoir,Camerupt,Chimecho,Empoleon,Roserade,Lopunny,Leafeon,Mamoswine,Gallade,Froslass,Liepard,Whimsicott,Reuniclus,Emolga,Beartic,Delphox,Floette,Florges,Furfrou,Meowstic (Meowstic-M),Aromatisse,Slurpuff,Tyrantrum,Sylveon,Dedenne,Goodra,Primarina,Lycanroc,Tsareena,Mimikyu,Hatterene,Mr. Rime,Alcremie,Meowscarada,Maushold,Palafin,Raichu (Alolan Raichu),Ninetales (Alolan Ninetales),Goodra (Hisuian Goodra),Meowstic (Meowstic-F)"
chilling_water,Chilling Water,Chilling Water,55,0,55,0,0.0,"Blastoise,Clefable,Slowbro,Starmie,Gyarados,Vaporeon,Snorlax,Dragonite,Feraligatr,Azumarill,Politoed,Slowking,Pelipper,Sharpedo,Milotic,Castform,Glalie,Empoleon,Toxicroak,Abomasnow,Weavile,Glaceon,Froslass,Samurott,Simipour,Audino,Vanilluxe,Beartic,Greninja,Floette,Florges,Clawitzer,Aurorus,Goodra,Avalugg,Primarina,Crabominable,Toxapex,Araquanid,Oranguru,Passimian,Mr. Rime,Basculegion (Basculegion-M),Meowscarada,Quaquaval,Maushold,Bellibolt,Palafin,Ninetales (Alolan Ninetales),Slowbro (Galarian Slowbro),Slowking (Galarian Slowking),Samurott (Hisuian Samurott),Goodra (Hisuian Goodra),Tauros (Paldean Tauros (Aqua)),Basculegion (Basculegion-F)"
chilly_reception,Chilly Reception,Chilly Reception,2,0,2,0,0.0,"Slowking,Slowking (Galarian Slowking)"
circle_throw,Circle Throw,Llave Giro,6,0,6,0,0.0,"Kangaskhan,Pinsir,Heracross,Lopunny,Lucario,Pangoro"
clanging_scales,Clanging Scales,Fragor Escamas,1,0,1,1,100.0,Kommo-o
clangorous_soul,Clangorous Soul,Estruendo Escama,1,0,1,0,0.0,Kommo-o
clear_smog,Clear Smog,Niebla Clara,7,0,7,0,0.0,"Victreebel,Gengar,Torkoal,Garbodor,Chandelure,Armarouge,Ceruledge"
close_combat,Close Combat,A Bocajarro,40,0,40,31,77.5,"Arcanine,Machamp,Pinsir,Tauros,Scizor,Heracross,Medicham,Sharpedo,Absol,Infernape,Lopunny,Lucario,Toxicroak,Gallade,Emboar,Conkeldurr,Krookodile,Beartic,Golurk,Chesnaught,Pangoro,Aegislash,Tyrantrum,Hawlucha,Incineroar,Crabominable,Lycanroc,Mudsdale,Passimian,Kommo-o,Kleavor,Sneasler,Quaquaval,Ceruledge,Palafin,Arcanine (Hisuian Arcanine),Decidueye (Hisuian Decidueye),Tauros (Paldean Tauros),Tauros (Paldean Tauros (Blaze)),Tauros (Paldean Tauros (Aqua))"
